API,method,github url,label (M/C)
java.util.Iterator__next__0,GenerateBidiTestData.removeSurrogates#List#,https://github.com/apache/xmlgraphics-fop/blob/1942336d7/fop-core/src/main/codegen/unicode/java/org/apache/fop/complexscripts/bidi/GenerateBidiTestData.java#L734,C
java.util.Map__get__1,KeyToGroupMap.getGroup#Comparable#,https://github.com/jfree/jfreechart/blob/893f9b15/src/main/java/org/jfree/data/KeyToGroupMap.java#L155,C
java.util.Iterator__next__0,StrTokenizerTest.testTokenizeSubclassInputChange#,https://github.com/apache/commons-text/blob/7d2b511/src/test/java/org/apache/commons/text/StrTokenizerTest.java#L891,C
org.jfree.chart.plot.PlotRenderingInfo__getOwner__0,CombinedDomainXYPlot.draw#Graphics2D#Rectangle2D#Point2D#PlotState#PlotRenderingInfo#,https://github.com/jfree/jfreechart/blob/893f9b15/src/main/java/org/jfree/chart/plot/CombinedDomainXYPlot.java#L469,C
java.util.Iterator__next__0,AbstractSignatureOutputProcessor.verifySignatureParts#OutputProcessorChain#,https://github.com/apache/santuario-java/blob/3832bd83/src/main/java/org/apache/xml/security/stax/impl/processor/output/AbstractSignatureOutputProcessor.java#L136,C
java.util.Map__get__1,CommandHelper.hasNode#Context#String#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-standalone/src/main/java/org/apache/jackrabbit/standalone/cli/CommandHelper.java#L285,M
java.util.Iterator__next__0,PostscriptParser.PSDictionary.addEntry#String#,https://github.com/apache/xmlgraphics-fop/blob/1942336d7/fop-core/src/main/java/org/apache/fop/fonts/type1/PostscriptParser.java#L285,M
java.util.Iterator__next__0,ShardedMap.CombinedSet.iterator#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/tools/org/h2/dev/cluster/ShardedMap.java#L39,C
java.util.Iterator__next__0,CallExpr.asString#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/tools/org/h2/java/Expr.java#L727,M
java.util.Iterator__next__0,EffectiveNodeTypeCacheImpl.remove#Key#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-core/src/main/java/org/apache/jackrabbit/core/nodetype/EffectiveNodeTypeCacheImpl.java#L102,C
java.util.Map__get__1,PDFFactory.makeFont#String#String#String#FontMetrics#FontDescriptor#,https://github.com/apache/xmlgraphics-fop/blob/1942336d7/fop-core/src/main/java/org/apache/fop/pdf/PDFFactory.java#L913,C
java.util.Map__get__1,JCARepositoryManager.createRepository#Map#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-jca/src/main/java/org/apache/jackrabbit/jca/JCARepositoryManager.java#L72,C
java.util.List__get__1,TestValueHashMap.testRandomized#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/test/org/h2/test/unit/TestValueHashMap.java#L59,C
java.util.Iterator__next__0,CommandLineFactory.getCommandLines#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-standalone/src/main/java/org/apache/jackrabbit/standalone/cli/CommandLineFactory.java#L90,C
java.util.Iterator__next__0,UserManagerSearchTest.toSet#Iterator#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-core/src/test/java/org/apache/jackrabbit/api/security/user/UserManagerSearchTest.java#L802,C
java.util.Map__get__1,PdfCopy.findActivesFromReference#PdfIndirectReference#ArrayList#HashSet#,https://github.com/itext/itextpdf/blob/2d5b6a212/itext/src/main/java/com/itextpdf/text/pdf/PdfCopy.java#L1110,C
java.sql.ResultSet__next__0,TestFunctions.testPrecision#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/test/org/h2/test/db/TestFunctions.java#L528,M
java.util.List__get__1,SpaceSpecifier.resolve#boolean#,https://github.com/apache/xmlgraphics-fop/blob/1942336d7/fop-core/src/main/java/org/apache/fop/layoutmgr/SpaceSpecifier.java#L115,C
java.util.List__get__1,AcroFields.getNewPushbuttonFromField#String#int#,https://github.com/itext/itextpdf/blob/2d5b6a212/itext/src/main/java/com/itextpdf/text/pdf/AcroFields.java#L2706,C
java.util.Map__get__1,RepositoryFactoryImpl.getOrCreateRepository#String#Map#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-core/src/main/java/org/apache/jackrabbit/core/RepositoryFactoryImpl.java#L119,C
java.util.List__get__1,PdfContentByte.saveMCBlocks#,https://github.com/itext/itextpdf/blob/2d5b6a212/itext/src/main/java/com/itextpdf/text/pdf/PdfContentByte.java#L4304,C
java.util.Iterator__next__0,MIFFile.output#OutputStream#,https://github.com/apache/xmlgraphics-fop/blob/1942336d7/fop-sandbox/src/main/java/org/apache/fop/render/mif/MIFFile.java#L127,C
java.util.Iterator__next__0,TextLine.draw#Graphics2D#float#float#TextAnchor#float#float#double#,https://github.com/jfree/jfreechart/blob/893f9b15/src/main/java/org/jfree/chart/text/TextLine.java#L132,C
java.sql.ResultSet__next__0,TestMetaData.testClientInfo#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/test/org/h2/test/jdbc/TestMetaData.java#L1222,M
java.util.List__get__1,ExpandableStatefulODE.setSecondaryState#int#double[]#,https://github.com/apache/commons-math/blob/1abe3c769/src/main/java/org/apache/commons/math4/ode/ExpandableStatefulODE.java#L226,M
java.lang.Short__parseShort__1,Parser.parseValue#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/test/org/h2/test/trace/Parser.java#L177,M
java.util.List__get__1,CFFDataReader.readLocalIndexSubrs#,https://github.com/apache/xmlgraphics-fop/blob/1942336d7/fop-core/src/main/java/org/apache/fop/fonts/cff/CFFDataReader.java#L619,M
java.sql.ResultSet__next__0,TestXASimple.testTwoPhase#String#boolean#boolean#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/test/org/h2/test/jdbcx/TestXASimple.java#L50,M
java.util.Map__get__1,ConfigurationKeyManager.getCertificateChain#String#,https://github.com/wildfly-security/wildfly-elytron/blob/a73bbba0f0/src/main/java/org/wildfly/security/auth/client/ConfigurationKeyManager.java#L129,C
java.util.Map__get__1,AbstractSecurityContextImpl.putAsMap#Object#T#U#,https://github.com/apache/santuario-java/blob/3832bd83/src/main/java/org/apache/xml/security/stax/impl/AbstractSecurityContextImpl.java#L95,C
java.util.Iterator__next__0,EventListenerIteratorAdapter.nextEventListener#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/iterator/EventListenerIteratorAdapter.java#L75,C
java.util.List__get__1,ClipperBase.addPaths#Paths#PolyType#boolean#,https://github.com/itext/itextpdf/blob/2d5b6a212/itext/src/main/java/com/itextpdf/text/pdf/parser/clipper/ClipperBase.java#L361,C
java.util.List__get__1,BanglaGlyphRepositioner.repositionGlyphs#List#,https://github.com/itext/itextpdf/blob/2d5b6a212/itext/src/main/java/com/itextpdf/text/pdf/languages/BanglaGlyphRepositioner.java#L70,C
java.util.Iterator__next__0,JCRSQLQueryBuilder.MergingPathQueryNode.doOrMerge#MergingPathQueryNode[]#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-spi-commons/src/main/java/org/apache/jackrabbit/spi/commons/query/sql/JCRSQLQueryBuilder.java#L69,C
java.util.Map__get__1,InternalVersionHistoryImpl.getVersionByLabel#Name#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-core/src/main/java/org/apache/jackrabbit/core/version/InternalVersionHistoryImpl.java#L341,C
java.util.Enumeration__nextElement__0,AccessMgrSample.testDisplayUserSession#,https://github.com/apache/directory-fortress-core/blob/a7ab0c01/src/test/java/org/apache/directory/fortress/core/samples/AccessMgrSample.java#L287,C
java.util.List__get__1,CreateVisibleSignature2.signPDF#File#File#Rectangle2D#String#String#,https://github.com/apache/pdfbox/blob/72249f6ff/examples/src/main/java/org/apache/pdfbox/examples/signature/CreateVisibleSignature2.java#L149,M
java.util.Map__get__1,TestMVStore.testBtreeStore#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/test/org/h2/test/store/TestMVStore.java#L1681,C
java.util.Map__get__1,AbstractPSTranscoder.transcode#Document#String#TranscoderOutput#,https://github.com/apache/xmlgraphics-fop/blob/1942336d7/fop-core/src/main/java/org/apache/fop/render/ps/AbstractPSTranscoder.java#L108,M
java.util.Map__get__1,TokenCredentials.getAttribute#String#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-api/src/main/java/org/apache/jackrabbit/api/security/authentication/token/TokenCredentials.java#L87,C
java.util.List__get__1,DropIndex.update#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/main/org/h2/command/ddl/DropIndex.java#L43,C
java.util.Map__get__1,AFPResourceLevelDefaults.getResourceType#String#,https://github.com/apache/xmlgraphics-fop/blob/1942336d7/fop-core/src/main/java/org/apache/fop/afp/AFPResourceLevelDefaults.java#L44,C
java.util.Iterator__next__0,StrTokenizerTest.testBasicTrimmed1#,https://github.com/apache/commons-text/blob/7d2b511/src/test/java/org/apache/commons/text/StrTokenizerTest.java#L458,C
java.util.List__get__1,MatrixSeriesCollection.getX#int#int#,https://github.com/jfree/jfreechart/blob/893f9b15/src/main/java/org/jfree/data/xy/MatrixSeriesCollection.java#L156,M
java.util.Iterator__next__0,CategoryPlot.drawDomainMarkers#Graphics2D#Rectangle2D#int#Layer#,https://github.com/jfree/jfreechart/blob/893f9b15/src/main/java/org/jfree/chart/plot/CategoryPlot.java#L4067,C
java.util.Iterator__next__0,QueryHitsQuery.QueryHitsQueryScorer.nextDoc#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/QueryHitsQuery.java#L332,C
java.util.Iterator__next__0,TextLine.calculateBaselineOffset#Graphics2D#TextAnchor#,https://github.com/jfree/jfreechart/blob/893f9b15/src/main/java/org/jfree/chart/text/TextLine.java#L212,C
java.util.Map__get__1,AcroFields.setFieldProperty#String#String#int#int#,https://github.com/itext/itextpdf/blob/2d5b6a212/itext/src/main/java/com/itextpdf/text/pdf/AcroFields.java#L1191,C
java.util.Iterator__next__0,PageBreaker.handleFloatLayout#PageBreakingAlgorithm#int#BlockSequence#LayoutContext#,https://github.com/apache/xmlgraphics-fop/blob/1942336d7/fop-core/src/main/java/org/apache/fop/layoutmgr/PageBreaker.java#L764,M
java.sql.ResultSet__next__0,Test.Test#String#String#String#String#boolean#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/test/org/h2/test/poweroff/Test.java#L38,M
java.util.Iterator__next__0,GenerateBidiTestData.removeSurrogates#List#,https://github.com/apache/xmlgraphics-fop/blob/1942336d7/fop-core/src/main/codegen/unicode/java/org/apache/fop/complexscripts/bidi/GenerateBidiTestData.java#L734,C
java.util.Map__get__1,AbbaDetector.markHigher#Object#Deque#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/main/org/h2/util/AbbaDetector.java#L90,C
java.util.Map__get__1,EventProducerCollector.createMethodModel#JavaMethod#,https://github.com/apache/xmlgraphics-fop/blob/1942336d7/fop-events/src/main/java/org/apache/fop/tools/EventProducerCollector.java#L134,C
java.sql.ResultSet__next__0,TestRowLocks.getSingleValue#Statement#String#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/test/org/h2/test/rowlock/TestRowLocks.java#L108,M
java.util.Map__get__1,RowIteratorImpl.RowImpl.getValue#String#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/RowIteratorImpl.java#L108,C
java.sql.ResultSet__next__0,TestLinkedTable.testGeometry#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/test/org/h2/test/db/TestLinkedTable.java#L695,C
java.util.Iterator__next__0,SerializingContentHandler.endElement#String#String#String#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-jcr-rmi/src/main/java/org/apache/jackrabbit/rmi/client/SerializingContentHandler.java#L376,C
java.sql.ResultSet__next__0,TestOptimizations.testIndexUseDespiteNullsFirst#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/test/org/h2/test/db/TestOptimizations.java#L1045,M
java.sql.ResultSet__next__0,DatabasePersistenceManager.exists#PropertyId#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-core/src/main/java/org/apache/jackrabbit/core/persistence/db/DatabasePersistenceManager.java#L714,C
java.io.PrintWriter__write__1,CompactNodeTypeDefWriter.close#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/cnd/CompactNodeTypeDefWriter.java#L203,C
java.util.List__get__1,CachingHierarchyManagerTest.StaticItemStateManager.orderBefore#NodeState#NodeState#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-core/src/test/java/org/apache/jackrabbit/core/CachingHierarchyManagerTest.java#L342,C
java.util.List__get__1,StackLayout.layoutContainer#Container#,https://github.com/ebourg/swingx/blob/820656c/swingx-core/src/main/java/org/jdesktop/swingx/StackLayout.java#L185,C
java.util.Iterator__next__0,GroupTest.testGetDeclaredMembersAgainstDeclaredMemberOf#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-core/src/test/java/org/apache/jackrabbit/api/security/user/GroupTest.java#L117,C
java.util.Map__get__1,MapAttributes.set#String#int#String#,https://github.com/wildfly-security/wildfly-elytron/blob/a73bbba0f0/src/main/java/org/wildfly/security/authz/MapAttributes.java#L149,C
java.util.Iterator__next__0,AbstractQOMTest.forQOMandSQL2#QueryObjectModel#Callable#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-jcr-tests/src/main/java/org/apache/jackrabbit/test/api/query/qom/AbstractQOMTest.java#L204,C
java.util.Iterator__next__0,CombinedRangeXYPlot.setShadowGenerator#ShadowGenerator#,https://github.com/jfree/jfreechart/blob/893f9b15/src/main/java/org/jfree/chart/plot/CombinedRangeXYPlot.java#L643,C
java.util.Map__get__1,ExpressionColumn.updateAggregate#Session#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/main/org/h2/expression/ExpressionColumn.java#L156,C
java.util.List__get__1,PrintURLs.main#String[]#,https://github.com/apache/pdfbox/blob/72249f6ff/examples/src/main/java/org/apache/pdfbox/examples/pdmodel/PrintURLs.java#L59,C
java.util.Map__get__1,ItemInfoStore.updateBatch#ItemId#ItemInfo#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-jcr2spi/src/test/java/org/apache/jackrabbit/jcr2spi/ItemInfoStore.java#L143,M
java.util.List__get__1,TestTableEngines.checkPlan#Statement#String#String#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/test/org/h2/test/db/TestTableEngines.java#L883,M
java.util.List__get__1,TestJoin.execute#String#Object[]#boolean#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/test/org/h2/test/synth/TestJoin.java#L241,C
java.util.Map__get__1,NodeTypeRegistryImpl.NodeTypeDefinitionMap.containsValue#Object#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/nodetype/NodeTypeRegistryImpl.java#L241,C
java.sql.ResultSet__next__0,TestLob.testLobSkip#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/test/org/h2/test/db/TestLob.java#L279,M
java.sql.ResultSet__next__0,TestPowerOff.recoverAndCheckConsistency#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/test/org/h2/test/db/TestPowerOff.java#L316,M
org.jfree.chart.plot.PlotRenderingInfo__getOwner__0,CombinedDomainXYPlot.CombinedDomainXYPlot#ValueAxis#,https://github.com/jfree/jfreechart/blob/893f9b15/src/main/java/org/jfree/chart/plot/CombinedDomainXYPlot.java#L162,C
java.util.List__get__1,DefaultMultiThumbModel.getThumbAt#int#,https://github.com/ebourg/swingx/blob/820656c/swingx-core/src/main/java/org/jdesktop/swingx/multislider/DefaultMultiThumbModel.java#L86,M
java.util.Map__get__1,CFFParserTest.testDeltaLists#,https://github.com/apache/pdfbox/blob/72249f6ff/fontbox/src/test/java/org/apache/fontbox/cff/CFFParserTest.java#L39,M
java.util.List__get__1,ChainedProperties.getProperty#String#,https://github.com/itext/itextpdf/blob/2d5b6a212/itext/src/main/java/com/itextpdf/text/html/simpleparser/ChainedProperties.java#L94,C
java.util.List__get__1,ConstraintReferential.checkRowRefTable#Session#Row#Row#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/main/org/h2/constraint/ConstraintReferential.java#L409,M
com.itextpdf.text.pdf.PdfDictionary__getAsString__1,PdfCopy.freeReader#PdfReader#,https://github.com/itext/itextpdf/blob/2d5b6a212/itext/src/main/java/com/itextpdf/text/pdf/PdfCopy.java#L1751,M
java.util.Map__get__1,FontEncodingView.getHeaderPanel#Map#,https://github.com/apache/pdfbox/blob/72249f6ff/debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/FontEncodingView.java#L100,M
java.util.List__get__1,Type2CharStringParser.parse#byte[]#byte[][]#byte[][]#boolean#,https://github.com/apache/pdfbox/blob/72249f6ff/fontbox/src/main/java/org/apache/fontbox/cff/Type2CharStringParser.java#L74,C
java.util.List__get__1,RegularTable.getScanIndex#Session#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/main/org/h2/table/RegularTable.java#L181,M
java.util.Map__get__1,AdminPermissionUtilTest.getPossibleAdminPermissions#,https://github.com/apache/directory-fortress-core/blob/a7ab0c01/src/test/java/org/apache/directory/fortress/core/util/AdminPermissionUtilTest.java#L33,C
java.util.List__get__1,IndexMerger.indexAdded#String#int#,https://github.com/apache/jackrabbit/blob/da3fd4199/jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/IndexMerger.java#L135,C
java.util.List__get__1,PostscriptParser.PSDictionary.parseToken#String#int#,https://github.com/apache/xmlgraphics-fop/blob/1942336d7/fop-core/src/main/java/org/apache/fop/fonts/type1/PostscriptParser.java#L547,M
java.util.List__get__1,XYPlotTest.testRemoveAnnotation#,https://github.com/jfree/jfreechart/blob/893f9b15/src/test/java/org/jfree/chart/plot/XYPlotTest.java#L940,C
java.util.Map__get__1,CFFDataReader.readCharStringIndex#,https://github.com/apache/xmlgraphics-fop/blob/1942336d7/fop-core/src/main/java/org/apache/fop/fonts/cff/CFFDataReader.java#L464,M
java.sql.ResultSet__next__0,TestFunctionOverload.testControl#,https://github.com/h2database/h2database/blob/0ea0365c2/h2/src/test/org/h2/test/db/TestFunctionOverload.java#L57,M
java.util.List__get__1,PdfReader.eliminateSharedStreams#,https://github.com/itext/itextpdf/blob/2d5b6a212/itext/src/main/java/com/itextpdf/text/pdf/PdfReader.java#L2710,C
com.itextpdf.text.pdf.PdfArray__getPdfObject__1,PdfStream.toPdf#PdfWriter#OutputStream#,https://github.com/itext/itextpdf/blob/2d5b6a212/itext/src/main/java/com/itextpdf/text/pdf/PdfStream.java#L283,C
