,Project,Version,,,API 1,,,,Misuse,,,,DMMC,GrouMiner,Jadet,Tikanga,MUDetect,MUDetectXP,,COMPOSITE,ALP,,,,,,,,ALP uniq
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,aclang,587,org/apache/commons/lang/text/StrBuilder.java,"appendFixedWidthPadLeft(Object, int, char)",org.apache.commons.lang.text.StrBuilder,missing/condition/null_check,,,1,,resource_leak,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
2,aclang,587,org/apache/commons/lang/text/StrBuilder.java,"appendFixedWidthPadRight(Object, int, char)",org.apache.commons.lang.text.StrBuilder,missing/condition/null_check,,,2,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
3,acmath,998,org/apache/commons/math3/geometry/euclidean/threed/SubLine.java,"intersection(SubLine, boolean)",org.apache.commons.math3.geometry.euclidean.threed.Line,missing/condition/null_check,,,1,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
4,acmath,998,org/apache/commons/math3/geometry/euclidean/twod/SubLine.java,"intersection(SubLine, boolean)",org.apache.commons.math3.geometry.euclidean.twod.Line,missing/condition/null_check,,,2,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
5,adempiere,1312,org/compiere/util/Secure.java,encrypt(String),java.lang.String,missing/call,redundant/call,,1,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
6,adempiere,1312,org/compiere/util/Secure.java,decrypt(String),java.lang.String,missing/call,redundant/call,,2,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
7,alibaba-druid,e10f28,com/alibaba/druid/filter/config/ConfigTools.java,"decrypt(PublicKey, String)",javax.crypto.Cipher,missing/call,,,1,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
8,alibaba-druid,e10f28,com/alibaba/druid/filter/config/ConfigTools.java,"encrypt(byte[], String)",javax.crypto.Cipher,missing/exception_handling,,,2,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
9,apache-gora,bb09d89,org/apache/gora/accumulo/store/PartitionTest.java,encl(long),java.io.DataOutputStream,missing/call,,,56_1,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
10,apache-gora,bb09d89,org/apache/gora/util/TestWritableUtils.java,testWritesReads(),java.io.DataOutputStream,missing/call,,,56_2,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
11,argouml,26,org/argouml/persistence/ZargoFilePersister.java,"loadFromZargo(File, ProgressMgr)",java.util.Iterator,missing/condition/value_or_state,missing/call,,tikanga11-1,,exception,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
12,argouml,26,org/argouml/uml/util/PathComparator.java,"comparePaths(Object, Object)",java.util.Iterator,missing/call,,,tikanga11-2,,exception,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
13,argouml,26,org/argouml/persistence/ZargoFilePersister.java,doLoad(File),java.util.Iterator,missing/condition/value_or_state,missing/call,,tikanga11-3,,exception,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
14,argouml,26,org/argouml/persistence/ZargoFilePersister.java,"loadFromZargo(File, ProgressMgr)",java.util.Iterator,missing/condition/value_or_state,missing/call,duplicate,tikanga11-4,,resource_leak,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,FALSE,,,,,,,,FALSE
15,asterisk-java,41461b4,org/asteriskjava/manager/event/RtcpReceivedEvent.java,setPt(String),java.lang.Long,missing/exception_handling,,,194,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
16,asterisk-java,304421c,org/asteriskjava/manager/event/AsyncAgiEvent.java,decode(String),java.net.URLDecoder,missing/condition/value_or_state,,,81,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
17,asterisk-java,304421c,org/asteriskjava/manager/internal/EventBuilderImpl.java,"buildEvent(Object, Map)",java.util.List,missing/condition/value_or_state,missing/call,,dmmc-8,,exception,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,,,,,,,,FALSE
18,asterisk-java,304421c,org/asteriskjava/manager/internal/EventBuilderImpl.java,"buildEvent(Object, Map)",java.util.List,missing/condition/value_or_state,missing/call,duplicate,dmmc-9,,exception,,,,,,,,,,,,,,,,,,FALSE
19,battleforge,878,de/battleforge/util/BFProperties.java,"setProperty(BFProps, String, boolean)",java.lang.String,missing/call,redundant/call,,1,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
20,battleforge,878,de/battleforge/util/BFProperties.java,"setProperty(BFProps, String, boolean)",java.lang.String,missing/call,redundant/call,,2,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
21,battleforge,878,de/battleforge/util/BFProperties.java,getProperty(BFProps),java.lang.String,missing/call,redundant/call,,3,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
22,battleforge,878,de/battleforge/util/BFProperties.java,getProperty(BFProps),java.lang.String,missing/call,redundant/call,,4,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
23,bcel,2.40E+09,org/apache/commons/bcel6/generic/InstructionList.java,getByteCode(),java.io.DataOutputStream,missing/call,,,101,,wrong,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,,,,,,,,FALSE
24,chensun,cf23b99,server/generateChecksumPostsAndReplies.java,main(String[]),javax.crypto.Cipher,missing/condition/value_or_state,,,1,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
25,chensun,cf23b99,server/generateChecksumPostsAndReplies.java,main(String[]),javax.crypto.Cipher,missing/condition/value_or_state,,duplicate,2,,wrong,,,,,,,,,,,,,,,,,,FALSE
26,chensun,cf23b99,database/SocialNetworkDatabasePosts.java,"getPost(Connection, String, String, String, int)",java.sql.ResultSet,missing/call,,,grouminer-3,,resource_leak,,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,FALSE,,,,,,,,FALSE
27,chensun,cf23b99,database/SocialNetworkDatabasePosts.java,"getPost(Connection, String, String, String, int)",java.sql.ResultSet,missing/call,,duplicate,grouminer-3a,,resource_leak,,,,,,,,,,,,,,,,,,FALSE
28,chensun,cf23b99,database/SocialNetworkDatabasePosts.java,"addFFAParticipipant(Connection, int, String, String)",java.sql.PreparedStatement,missing/call,,,grouminer-9,,resource_leak,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE,,,,,,,,FALSE
29,chensun,cf23b99,database/SocialNetworkDatabasePosts.java,"getPost(Connection, String, String, String, int)",java.sql.PreparedStatement,missing/call,,,jadet-1,,resource_leak,,,,,,,,,,,,,,,,,,FALSE
30,chensun,cf23b99,database/SocialNetworkDatabasePosts.java,"getPost(Connection, String, String, String, int)",java.sql.PreparedStatement,missing/call,,duplicate,jadet-1a,,resource_leak,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
31,chensun,cf23b99,database/SocialNetworkDatabaseBoards.java,"getBoardList(Connection, String)",java.sql.ResultSet,missing/call,,,jadet-2,,resource_leak,,,,,,,,,,,,,,,,,,FALSE
32,chensun,cf23b99,database/SocialNetworkDatabaseBoards.java,"getBoardList(Connection, String)",java.sql.ResultSet,missing/call,,duplicate,jadet-2a,,resource_leak,,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
33,chensun,cf23b99,database/SocialNetworkDatabaseBoards.java,"authorizedGoToBoard(Connection, String, String)",java.sql.ResultSet,missing/call,,,jadet-5,,resource_leak,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
34,chensun,cf23b99,database/SocialNetworkDatabaseBoards.java,"authorizedGoToBoard(Connection, String, String)",java.sql.ResultSet,missing/call,,duplicate,jadet-5a,,resource_leak,,,,,,,,,,,,,,,,,,FALSE
35,chensun,cf23b99,???,??,java.sql.PreparedStatement,missing/call,,,MUDetect-1,,resource_leak,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE,,,,,,,,FALSE
36,chensun,cf23b99,database/SocialNetworkDatabasePosts.jav,"postExists(Connection, String, String, int)",java.sql.ResultSet,missing/call,,,MUDetect-4,,resource_leak,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,FALSE,,,,,,,,FALSE
37,chensun,cf23b99,database/SocialNetworkDatabaseBoards.java,"createBoard(Connection, String, String)",java.sql.PreparedStatement,missing/call,,,MUDetect-12,,resource_leak,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE,,,,,,,,FALSE
38,chensun,cf23b99,database/DatabaseAdmin.java,"replaceBoardManager(Connection, String)",java.sql.PreparedStatement,missing/call,,,MUDetect-13,,resource_leak,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE,,,,,,,,FALSE
39,closure,884,com/google/javascript/jscomp/TypeCheck.java,"checkInterfaceConflictProperties(NodeTraversal, Node, String, HashMap, HashMap, ObjectType)",com.google.javascript.rhino.jstype.ObjectType,missing/condition/null_check,,,3,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
40,closure,319,com/google/javascript/jscomp/CommandLineRunner.java,parseArguments(Parameters),org.kohsuke.args4j.spi.Parameters,missing/exception_handling,,,2,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
41,closure,319,com/google/javascript/jscomp/SimpleDefinitionFinder.java,"visit(NodeTraversal, Node, Node)",java.util.Iterator,missing/condition/value_or_state,,,dmmc-13,,exception,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
42,closure,319,com/google/javascript/jscomp/deps/SortedDependencies.java,cycleToString(List),java.util.Iterator,missing/condition/value_or_state,,,dmmc-1023,,exception,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
43,closure,319,com/google/javascript/jscomp/jsonml/Writer.java,"processCall(Node, JsonML)",java.util.Iterator,missing/condition/value_or_state,,,MUDetect-12,,exception,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
44,closure,319,com/google/javascript/jscomp/ReplaceMessages.java,"constructStringExprNode(Iterator, Node)",java.util.Iterator,missing/condition/value_or_state,,,MUDetect-13,,exception,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
