graph_id,is_correct,feature_2122,feature_2131,feature_13471,feature_2128,feature_2611
64_0_0,1,0,0,1,1,0
1_0_0,1,0,1,0,1,0
1_1_0,1,0,1,0,1,0
1_2_0,1,0,1,0,1,0
67_0_0,1,0,0,0,1,1
67_1_0,1,0,0,0,1,1
20_0_0,1,0,1,1,1,1
20_1_0,1,0,1,1,1,1
20_2_0,1,0,1,1,1,1
69_0_0,1,0,1,1,1,0
69_1_0,1,0,1,1,1,0
69_2_0,1,0,1,1,1,0
30_0_0,1,0,0,1,1,1
30_1_0,1,0,0,1,1,1
82_0_0,0,1,0,0,0,0
82_0_1,0,1,0,0,0,0
52_0_0,0,1,0,0,0,0
52_0_1,0,1,0,0,0,0
52_1_0,0,1,0,0,0,0
52_1_1,0,1,0,0,0,0
21_0_0,0,1,0,0,1,0
21_0_1,0,1,0,0,1,0
21_1_0,0,1,0,0,1,0
21_1_1,0,1,0,0,1,0
21_2_0,0,1,0,0,1,0
21_2_1,0,1,0,0,1,0
102_0_0,0,1,0,0,1,0
102_0_1,0,1,0,0,1,0
55_0_0,0,0,0,0,0,0
55_0_1,0,0,0,0,0,0
56_0_0,0,0,0,0,0,0
56_0_1,0,0,0,0,0,0
