graph_id,is_correct,feature_184
1137_0_0,1,1
1137_1_0,1,1
1137_2_0,1,1
1329_0_0,1,1
149_0_0,1,0
918_0_0,1,0
330_0_0,1,0
330_1_0,1,0
1386_0_0,1,0
1386_1_0,1,0
1386_2_0,1,0
1611_0_0,1,0
1611_1_0,1,0
1611_2_0,1,0
1611_3_0,1,0
1611_4_0,1,0
2123_0_0,1,0
2123_1_0,1,0
2123_2_0,1,0
2123_3_0,1,0
2123_4_0,1,0
2092_0_0,1,0
893_0_0,1,0
703_0_0,1,0
409_0_0,0,1
409_0_1,0,1
409_0_2,0,1
409_0_3,0,1
409_0_4,0,1
409_0_5,0,1
409_0_6,0,1
409_0_7,0,1
409_0_8,0,1
409_0_9,0,1
409_0_10,0,1
409_0_11,0,1
409_0_12,0,1
409_0_13,0,1
409_0_14,0,1
409_0_15,0,1
409_0_16,0,1
409_0_17,0,1
409_0_18,0,1
409_0_19,0,1
409_0_20,0,1
409_0_21,0,1
409_0_22,0,1
409_0_23,0,1
