graph_id,is_correct,feature_65571,feature_25398,feature_65574,feature_24081,feature_92222,feature_31458,feature_3546
1921_0_0,1,1,1,0,0,1,1,0
135_0_0,1,0,0,1,0,0,0,0
135_1_0,1,0,0,1,0,0,0,0
199_0_0,1,1,1,0,0,0,0,0
1130_0_0,1,0,0,1,0,0,0,0
1130_1_0,1,0,0,1,0,0,0,0
971_0_0,1,1,1,0,0,0,1,0
2220_0_0,1,1,1,1,0,1,1,0
2220_1_0,1,1,1,1,0,1,1,0
2220_2_0,1,1,1,1,0,1,1,0
1102_0_0,1,0,0,1,0,0,0,0
1774_0_0,1,1,1,1,0,1,1,0
2638_0_0,1,1,1,1,0,0,0,0
79_0_0,1,1,1,0,1,0,1,1
82_0_0,1,1,1,0,0,0,0,1
82_1_0,1,1,1,0,0,0,0,1
2421_0_0,1,1,1,0,0,1,1,0
471_0_0,1,0,0,1,0,0,0,0
471_1_0,1,0,0,1,0,0,0,0
471_2_0,1,0,0,1,0,0,0,0
599_0_0,1,1,1,0,0,1,1,0
663_0_0,1,1,1,0,0,1,1,0
663_1_0,1,1,1,0,0,1,1,0
663_2_0,1,1,1,0,0,1,1,0
2331_0_0,1,1,1,1,0,1,1,0
2331_1_0,1,1,1,1,0,1,1,0
1820_0_0,1,1,1,1,0,1,1,0
1852_0_0,1,1,1,1,0,1,1,0
2655_0_0,1,0,1,1,0,0,0,0
257_0_0,0,0,0,0,1,0,0,1
257_0_1,0,0,0,0,1,0,0,1
257_1_0,0,0,0,0,1,0,0,1
257_1_1,0,0,0,0,1,0,0,1
1891_0_0,0,0,0,0,0,0,0,0
1891_0_1,0,0,0,0,0,0,0,0
933_0_0,0,0,0,0,0,0,0,0
933_0_1,0,0,0,0,0,0,0,0
933_1_0,0,0,0,0,0,0,0,0
933_1_1,0,0,0,0,0,0,0,0
933_2_0,0,0,0,0,0,0,0,0
933_2_1,0,0,0,0,0,0,0,0
1574_0_0,0,0,0,0,1,0,0,1
1574_0_1,0,0,0,0,1,0,0,1
1574_1_0,0,0,0,0,1,0,0,1
1574_1_1,0,0,0,0,1,0,0,1
1574_2_0,0,0,0,0,1,0,0,1
1574_2_1,0,0,0,0,1,0,0,1
7_0_0,0,0,0,0,1,0,0,1
7_0_1,0,0,0,0,1,0,0,1
1225_0_0,0,0,0,0,1,0,0,1
1225_0_1,0,0,0,0,1,0,0,1
2345_0_0,0,0,0,0,0,0,1,0
2345_0_1,0,0,0,0,0,0,1,0
2441_0_0,0,0,0,0,1,0,0,1
2441_0_1,0,0,0,0,1,0,0,1
2441_1_0,0,0,0,0,1,0,0,1
2441_1_1,0,0,0,0,1,0,0,1
237_0_0,0,0,1,0,0,0,1,0
237_0_1,0,0,1,0,0,0,1,0
1518_0_0,0,0,0,0,1,0,0,1
1518_0_1,0,0,0,0,1,0,0,1
1518_1_0,0,0,0,0,1,0,0,1
1518_1_1,0,0,0,0,1,0,0,1
2414_0_0,0,0,0,0,0,0,0,0
2414_0_1,0,0,0,0,0,0,0,0
2414_1_0,0,0,0,0,0,0,0,0
2414_1_1,0,0,0,0,0,0,0,0
2414_2_0,0,0,0,0,0,0,0,0
2414_2_1,0,0,0,0,0,0,0,0
112_0_0,0,0,0,0,1,0,0,1
112_0_1,0,0,0,0,1,0,0,1
1503_0_0,0,0,0,0,0,0,0,0
1503_0_1,0,0,0,0,0,0,0,0
2207_0_0,0,1,1,0,0,0,0,0
2207_0_1,0,1,1,0,0,0,0,0
