graph_id,is_correct,feature_1809,feature_1646,feature_14862,feature_24530,feature_2878,feature_5788,feature_14616,feature_4955,feature_19832
881_0_0,1,0,0,1,1,1,1,1,1,1
881_0_1,1,0,0,1,1,1,1,1,1,1
881_0_2,1,0,0,1,1,1,1,1,1,1
881_0_3,1,0,0,1,1,1,1,1,1,1
881_0_4,1,0,0,1,1,1,1,1,1,1
1457_0_0,1,0,0,0,0,0,1,0,1,0
1457_0_1,1,0,0,0,0,0,1,0,1,0
1457_0_2,1,0,0,0,0,0,1,0,1,0
1457_0_3,1,0,0,0,0,0,1,0,1,0
1457_0_4,1,0,0,0,0,0,1,0,1,0
51_0_0,1,0,0,0,0,0,0,0,0,0
51_0_1,1,0,0,0,0,0,0,0,0,0
51_0_2,1,0,0,0,0,0,0,0,0,0
51_0_3,1,0,0,0,0,0,0,0,0,0
51_0_4,1,0,0,0,0,0,0,0,0,0
2644_0_0,1,1,1,1,1,0,0,0,0,0
2644_0_1,1,1,1,1,1,0,0,0,0,0
2644_0_2,1,1,1,1,1,0,0,0,0,0
2644_0_3,1,1,1,1,1,0,0,0,0,0
2644_0_4,1,1,1,1,1,0,0,0,0,0
806_0_0,1,0,1,1,0,1,1,0,1,0
806_0_1,1,0,1,1,0,1,1,0,1,0
806_0_2,1,0,1,1,0,1,1,0,1,0
806_0_3,1,0,1,1,0,1,1,0,1,0
806_0_4,1,0,1,1,0,1,1,0,1,0
1944_0_0,1,0,0,1,0,1,1,0,1,1
1944_0_1,1,0,0,1,0,1,1,0,1,1
1944_0_2,1,0,0,1,0,1,1,0,1,1
1944_0_3,1,0,0,1,0,1,1,0,1,1
1944_0_4,1,0,0,1,0,1,1,0,1,1
154_0_0,1,1,1,1,1,1,0,0,0,0
154_0_1,1,1,1,1,1,1,0,0,0,0
154_0_2,1,1,1,1,1,1,0,0,0,0
154_0_3,1,1,1,1,1,1,0,0,0,0
154_0_4,1,1,1,1,1,1,0,0,0,0
955_0_0,1,1,1,0,1,0,0,0,0,0
955_0_1,1,1,1,0,1,0,0,0,0,0
955_0_2,1,1,1,0,1,0,0,0,0,0
955_0_3,1,1,1,0,1,0,0,0,0,0
955_0_4,1,1,1,0,1,0,0,0,0,0
955_1_0,1,1,1,0,1,0,0,0,0,0
955_1_1,1,1,1,0,1,0,0,0,0,0
955_1_2,1,1,1,0,1,0,0,0,0,0
955_1_3,1,1,1,0,1,0,0,0,0,0
955_1_4,1,1,1,0,1,0,0,0,0,0
955_2_0,1,1,1,0,1,0,0,0,0,0
955_2_1,1,1,1,0,1,0,0,0,0,0
955_2_2,1,1,1,0,1,0,0,0,0,0
955_2_3,1,1,1,0,1,0,0,0,0,0
955_2_4,1,1,1,0,1,0,0,0,0,0
2587_0_0,1,1,1,1,1,1,1,1,1,1
2587_0_1,1,1,1,1,1,1,1,1,1,1
2587_0_2,1,1,1,1,1,1,1,1,1,1
2587_0_3,1,1,1,1,1,1,1,1,1,1
2587_0_4,1,1,1,1,1,1,1,1,1,1
2012_0_0,1,1,0,1,1,1,1,1,1,1
2012_0_1,1,1,0,1,1,1,1,1,1,1
2012_0_2,1,1,0,1,1,1,1,1,1,1
2012_0_3,1,1,0,1,1,1,1,1,1,1
2012_0_4,1,1,0,1,1,1,1,1,1,1
2012_1_0,1,1,0,1,1,1,1,1,1,1
2012_1_1,1,1,0,1,1,1,1,1,1,1
2012_1_2,1,1,0,1,1,1,1,1,1,1
2012_1_3,1,1,0,1,1,1,1,1,1,1
2012_1_4,1,1,0,1,1,1,1,1,1,1
1_0_0,0,0,0,0,0,0,1,0,1,0
2433_0_0,0,0,0,0,0,0,1,0,1,0
2183_0_0,0,0,0,0,0,0,1,0,1,1
2444_0_0,0,0,0,1,0,1,1,0,1,0
