graph_id,is_correct,feature_68,feature_90,feature_46,feature_7012,feature_34,feature_37140,feature_326,feature_7006,feature_119,feature_361,feature_158,feature_5174,feature_11944,feature_16446,feature_5159,feature_210,feature_132,feature_1,feature_6229
256_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
256_1_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
256_2_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3969_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1155_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1156_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3975_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905_1_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905_2_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
522_1_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1930_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
523_1_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1294_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2831_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1168_0_0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1168_1_0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3088_0_0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3088_1_0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2833_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2195_0_0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2195_1_0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2325_0_0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2325_1_0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
790_0_0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
790_1_0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
790_2_0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1815_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1306_0_0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
