graph_id,is_correct,feature_5137,feature_3098
2336_0_0,1,0,0
2336_0_1,1,0,0
1057_0_0,1,0,0
1057_0_1,1,0,0
278_0_0,1,1,0
278_0_1,1,1,0
278_1_0,1,1,0
278_1_1,1,1,0
278_2_0,1,1,0
278_2_1,1,1,0
1593_0_0,1,0,1
1593_0_1,1,0,1
1593_1_0,1,0,1
1593_1_1,1,0,1
1593_2_0,1,0,1
1593_2_1,1,0,1
2058_0_0,1,0,0
2058_0_1,1,0,0
894_0_0,1,0,0
894_0_1,1,0,0
2271_0_0,1,0,0
2271_0_1,1,0,0
32_0_0,0,0,0
961_0_0,0,0,0
2113_0_0,0,0,0
2_0_0,0,0,0
610_0_0,0,0,0
549_0_0,0,0,0
231_0_0,0,0,0
231_1_0,0,0,0
1128_0_0,0,0,0
41_0_0,0,0,0
10_0_0,0,0,0
10_1_0,0,0,0
46_0_0,0,0,0
46_1_0,0,0,0
1198_0_0,0,0,0
1198_1_0,0,0,0
15_0_0,0,0,0
1296_0_0,0,0,0
1649_0_0,0,0,0
19_0_0,0,0,0
19_1_0,0,0,0
1620_0_0,0,0,0
1620_1_0,0,0,0
21_0_0,0,0,0
22_0_0,0,0,0
1975_0_0,0,0,0
2103_0_0,0,0,0
