graph_id,is_correct,feature_10292
2710_0_0,1,1
2710_0_1,1,1
2710_0_2,1,1
2710_0_3,1,1
2710_0_4,1,1
2710_0_5,1,1
2710_0_6,1,1
2710_1_0,1,1
2710_1_1,1,1
2710_1_2,1,1
2710_1_3,1,1
2710_1_4,1,1
2710_1_5,1,1
2710_1_6,1,1
2710_2_0,1,1
2710_2_1,1,1
2710_2_2,1,1
2710_2_3,1,1
2710_2_4,1,1
2710_2_5,1,1
2710_2_6,1,1
2777_0_0,1,0
2777_0_1,1,0
2777_0_2,1,0
2777_0_3,1,0
2777_0_4,1,0
2777_0_5,1,0
2777_0_6,1,0
253_0_0,1,1
253_0_1,1,1
253_0_2,1,1
253_0_3,1,1
253_0_4,1,1
253_0_5,1,1
253_0_6,1,1
653_0_0,1,0
653_0_1,1,0
653_0_2,1,0
653_0_3,1,0
653_0_4,1,0
653_0_5,1,0
653_0_6,1,0
1665_0_0,0,0
1286_0_0,0,0
1479_0_0,0,0
200_0_0,0,0
713_0_0,0,0
2057_0_0,0,0
205_0_0,0,0
2445_0_0,0,0
2062_0_0,0,0
2062_1_0,0,0
2062_2_0,0,0
2702_0_0,0,0
2702_1_0,0,0
93_0_0,0,0
1501_0_0,0,0
1501_1_0,0,0
2269_0_0,0,0
2337_0_0,0,0
418_0_0,0,0
803_0_0,0,0
1828_0_0,0,0
1318_0_0,0,0
1705_0_0,0,0
1707_0_0,0,0
620_0_0,0,0
2156_0_0,0,0
1647_0_0,0,0
1903_0_0,0,0
177_0_0,0,0
1137_0_0,0,0
2161_0_0,0,0
2161_1_0,0,0
2228_0_0,0,0
2228_1_0,0,0
1781_0_0,0,0
1781_1_0,0,0
759_0_0,0,0
759_1_0,0,0
759_2_0,0,0
2171_0_0,0,0
380_0_0,0,0
2620_0_0,0,0
1405_0_0,0,0
1598_0_0,0,0
1663_0_0,0,0
