graph_id,is_correct,feature_759,feature_2171,feature_2286,feature_2572,feature_2578,feature_2735,feature_3429,feature_4358,feature_4361,feature_4378
1286_0_0,1,1,1,0,1,1,1,0,1,1,1
1286_0_1,1,1,1,0,1,1,1,0,1,1,1
1286_0_2,1,1,1,0,1,1,1,0,1,1,1
1286_0_3,1,1,1,0,1,1,1,0,1,1,1
1286_0_4,1,1,1,0,1,1,1,0,1,1,1
1286_0_5,1,1,1,0,1,1,1,0,1,1,1
1286_0_6,1,1,1,0,1,1,1,0,1,1,1
1286_0_7,1,1,1,0,1,1,1,0,1,1,1
1286_0_8,1,1,1,0,1,1,1,0,1,1,1
141_0_0,1,1,1,0,1,1,1,0,1,1,1
141_0_1,1,1,1,0,1,1,1,0,1,1,1
141_0_2,1,1,1,0,1,1,1,0,1,1,1
141_0_3,1,1,1,0,1,1,1,0,1,1,1
141_0_4,1,1,1,0,1,1,1,0,1,1,1
141_0_5,1,1,1,0,1,1,1,0,1,1,1
141_0_6,1,1,1,0,1,1,1,0,1,1,1
141_0_7,1,1,1,0,1,1,1,0,1,1,1
141_0_8,1,1,1,0,1,1,1,0,1,1,1
141_1_0,1,1,1,0,1,1,1,0,1,1,1
141_1_1,1,1,1,0,1,1,1,0,1,1,1
141_1_2,1,1,1,0,1,1,1,0,1,1,1
141_1_3,1,1,1,0,1,1,1,0,1,1,1
141_1_4,1,1,1,0,1,1,1,0,1,1,1
141_1_5,1,1,1,0,1,1,1,0,1,1,1
141_1_6,1,1,1,0,1,1,1,0,1,1,1
141_1_7,1,1,1,0,1,1,1,0,1,1,1
141_1_8,1,1,1,0,1,1,1,0,1,1,1
141_2_0,1,1,1,0,1,1,1,0,1,1,1
141_2_1,1,1,1,0,1,1,1,0,1,1,1
141_2_2,1,1,1,0,1,1,1,0,1,1,1
141_2_3,1,1,1,0,1,1,1,0,1,1,1
141_2_4,1,1,1,0,1,1,1,0,1,1,1
141_2_5,1,1,1,0,1,1,1,0,1,1,1
141_2_6,1,1,1,0,1,1,1,0,1,1,1
141_2_7,1,1,1,0,1,1,1,0,1,1,1
141_2_8,1,1,1,0,1,1,1,0,1,1,1
2304_0_0,0,0,0,1,0,0,0,1,0,0,0
450_0_0,0,0,0,1,0,0,0,1,0,0,0
1410_0_0,0,0,0,1,0,0,0,1,0,0,0
2243_0_0,0,0,0,1,0,0,0,1,0,0,0
2060_0_0,0,0,0,1,0,0,0,1,0,0,0
2060_1_0,0,0,0,1,0,0,0,1,0,0,0
2060_2_0,0,0,0,1,0,0,0,1,0,0,0
269_0_0,0,0,0,1,0,0,0,1,0,0,0
269_1_0,0,0,0,1,0,0,0,1,0,0,0
2190_0_0,0,1,0,1,0,0,1,1,0,0,0
1295_0_0,1,0,0,1,0,0,0,1,0,0,0
1295_0_1,1,0,0,1,0,0,0,1,0,0,0
1295_0_2,1,0,0,1,0,0,0,1,0,0,0
1295_0_3,1,0,0,1,0,0,0,1,0,0,0
1295_0_4,1,0,0,1,0,0,0,1,0,0,0
1295_0_5,1,0,0,1,0,0,0,1,0,0,0
1295_0_6,1,0,0,1,0,0,0,1,0,0,0
1295_0_7,1,0,0,1,0,0,0,1,0,0,0
1295_0_8,1,0,0,1,0,0,0,1,0,0,0
2703_0_0,0,0,0,1,0,0,0,1,0,0,0
1041_0_0,0,0,0,1,0,0,0,1,0,0,0
596_0_0,0,0,0,1,0,0,0,1,0,0,0
596_1_0,0,0,0,1,0,0,0,1,0,0,0
2516_0_0,1,1,0,1,0,0,0,1,0,0,0
2516_0_1,1,1,0,1,0,0,0,1,0,0,0
2516_0_2,1,1,0,1,0,0,0,1,0,0,0
2516_0_3,1,1,0,1,0,0,0,1,0,0,0
2516_0_4,1,1,0,1,0,0,0,1,0,0,0
2516_0_5,1,1,0,1,0,0,0,1,0,0,0
2516_0_6,1,1,0,1,0,0,0,1,0,0,0
2516_0_7,1,1,0,1,0,0,0,1,0,0,0
2516_0_8,1,1,0,1,0,0,0,1,0,0,0
2453_0_0,0,0,0,1,0,0,0,1,0,0,0
470_0_0,0,0,0,1,0,0,0,1,0,0,0
470_1_0,0,0,0,1,0,0,0,1,0,0,0
470_2_0,0,0,0,1,0,0,0,1,0,0,0
346_0_0,0,0,0,1,0,0,0,1,0,0,0
2075_0_0,0,0,0,1,0,0,0,1,0,0,0
30_0_0,0,0,0,1,0,0,0,1,0,0,0
2590_0_0,0,0,0,1,0,0,0,1,0,0,0
2595_0_0,0,0,0,1,0,0,0,1,0,0,0
742_0_0,0,0,0,1,0,0,0,1,0,0,0
1575_0_0,0,0,0,1,0,0,0,1,0,0,0
1575_1_0,0,0,0,1,0,0,0,1,0,0,0
745_0_0,0,0,0,1,0,0,0,1,0,0,0
1258_0_0,0,0,0,1,0,0,0,1,0,0,0
1706_0_0,0,0,0,1,0,0,0,1,0,0,0
2282_0_0,0,0,0,1,0,0,0,1,0,0,0
2282_1_0,0,0,0,1,0,0,0,1,0,0,0
1204_0_0,0,0,0,1,0,0,0,1,0,0,0
1204_1_0,0,0,0,1,0,0,0,1,0,0,0
2358_0_0,0,0,0,1,0,0,0,1,0,0,0
2358_1_0,0,0,0,1,0,0,0,1,0,0,0
2358_2_0,0,0,0,1,0,0,0,1,0,0,0
1911_0_0,0,0,0,1,0,0,0,1,0,0,0
1850_0_0,0,1,0,1,0,0,0,1,0,0,0
2618_0_0,0,0,0,1,0,0,0,1,0,0,0
2618_1_0,0,0,0,1,0,0,0,1,0,0,0
701_0_0,0,0,0,1,0,0,0,1,0,0,0
383_0_0,0,0,0,1,0,0,0,1,0,0,0
511_0_0,0,0,0,1,0,0,0,1,0,0,0
511_1_0,0,0,0,1,0,0,0,1,0,0,0
511_2_0,0,0,0,1,0,0,0,1,0,0,0
1286_0_0,1,1,1,0,1,1,1,0,1,1,1
1286_0_1,1,1,1,0,1,1,1,0,1,1,1
1286_0_2,1,1,1,0,1,1,1,0,1,1,1
1286_0_3,1,1,1,0,1,1,1,0,1,1,1
1286_0_4,1,1,1,0,1,1,1,0,1,1,1
1286_0_5,1,1,1,0,1,1,1,0,1,1,1
1286_0_6,1,1,1,0,1,1,1,0,1,1,1
1286_0_7,1,1,1,0,1,1,1,0,1,1,1
1286_0_8,1,1,1,0,1,1,1,0,1,1,1
141_0_0,1,1,1,0,1,1,1,0,1,1,1
141_0_1,1,1,1,0,1,1,1,0,1,1,1
141_0_2,1,1,1,0,1,1,1,0,1,1,1
141_0_3,1,1,1,0,1,1,1,0,1,1,1
141_0_4,1,1,1,0,1,1,1,0,1,1,1
141_0_5,1,1,1,0,1,1,1,0,1,1,1
141_0_6,1,1,1,0,1,1,1,0,1,1,1
141_0_7,1,1,1,0,1,1,1,0,1,1,1
141_0_8,1,1,1,0,1,1,1,0,1,1,1
141_1_0,1,1,1,0,1,1,1,0,1,1,1
141_1_1,1,1,1,0,1,1,1,0,1,1,1
141_1_2,1,1,1,0,1,1,1,0,1,1,1
141_1_3,1,1,1,0,1,1,1,0,1,1,1
141_1_4,1,1,1,0,1,1,1,0,1,1,1
141_1_5,1,1,1,0,1,1,1,0,1,1,1
141_1_6,1,1,1,0,1,1,1,0,1,1,1
141_1_7,1,1,1,0,1,1,1,0,1,1,1
141_1_8,1,1,1,0,1,1,1,0,1,1,1
141_2_0,1,1,1,0,1,1,1,0,1,1,1
141_2_1,1,1,1,0,1,1,1,0,1,1,1
141_2_2,1,1,1,0,1,1,1,0,1,1,1
141_2_3,1,1,1,0,1,1,1,0,1,1,1
141_2_4,1,1,1,0,1,1,1,0,1,1,1
141_2_5,1,1,1,0,1,1,1,0,1,1,1
141_2_6,1,1,1,0,1,1,1,0,1,1,1
141_2_7,1,1,1,0,1,1,1,0,1,1,1
141_2_8,1,1,1,0,1,1,1,0,1,1,1
2516_0_0,1,1,0,1,0,0,0,1,0,0,0
2516_0_1,1,1,0,1,0,0,0,1,0,0,0
2516_0_2,1,1,0,1,0,0,0,1,0,0,0
2516_0_3,1,1,0,1,0,0,0,1,0,0,0
2516_0_4,1,1,0,1,0,0,0,1,0,0,0
2516_0_5,1,1,0,1,0,0,0,1,0,0,0
2516_0_6,1,1,0,1,0,0,0,1,0,0,0
2516_0_7,1,1,0,1,0,0,0,1,0,0,0
2516_0_8,1,1,0,1,0,0,0,1,0,0,0
1286_0_0,1,1,1,0,1,1,1,0,1,1,1
1286_0_1,1,1,1,0,1,1,1,0,1,1,1
1286_0_2,1,1,1,0,1,1,1,0,1,1,1
1286_0_3,1,1,1,0,1,1,1,0,1,1,1
1286_0_4,1,1,1,0,1,1,1,0,1,1,1
1286_0_5,1,1,1,0,1,1,1,0,1,1,1
1286_0_6,1,1,1,0,1,1,1,0,1,1,1
1286_0_7,1,1,1,0,1,1,1,0,1,1,1
1286_0_8,1,1,1,0,1,1,1,0,1,1,1
2630_0_0,0,1,0,0,0,0,0,0,0,0,0
855_0_0,0,1,0,0,0,0,0,0,0,0,0
855_1_0,0,1,0,0,0,0,0,0,0,0,0
1850_0_0,0,1,0,1,0,0,0,1,0,0,0
141_0_0,1,1,1,0,1,1,1,0,1,1,1
141_0_1,1,1,1,0,1,1,1,0,1,1,1
141_0_2,1,1,1,0,1,1,1,0,1,1,1
141_0_3,1,1,1,0,1,1,1,0,1,1,1
141_0_4,1,1,1,0,1,1,1,0,1,1,1
141_0_5,1,1,1,0,1,1,1,0,1,1,1
141_0_6,1,1,1,0,1,1,1,0,1,1,1
141_0_7,1,1,1,0,1,1,1,0,1,1,1
141_0_8,1,1,1,0,1,1,1,0,1,1,1
141_1_0,1,1,1,0,1,1,1,0,1,1,1
141_1_1,1,1,1,0,1,1,1,0,1,1,1
141_1_2,1,1,1,0,1,1,1,0,1,1,1
141_1_3,1,1,1,0,1,1,1,0,1,1,1
141_1_4,1,1,1,0,1,1,1,0,1,1,1
141_1_5,1,1,1,0,1,1,1,0,1,1,1
141_1_6,1,1,1,0,1,1,1,0,1,1,1
141_1_7,1,1,1,0,1,1,1,0,1,1,1
141_1_8,1,1,1,0,1,1,1,0,1,1,1
141_2_0,1,1,1,0,1,1,1,0,1,1,1
141_2_1,1,1,1,0,1,1,1,0,1,1,1
141_2_2,1,1,1,0,1,1,1,0,1,1,1
141_2_3,1,1,1,0,1,1,1,0,1,1,1
141_2_4,1,1,1,0,1,1,1,0,1,1,1
141_2_5,1,1,1,0,1,1,1,0,1,1,1
141_2_6,1,1,1,0,1,1,1,0,1,1,1
141_2_7,1,1,1,0,1,1,1,0,1,1,1
141_2_8,1,1,1,0,1,1,1,0,1,1,1
