graph_id,is_correct,feature_5164
0_0_0,1,1
0_0_1,1,1
0_0_2,1,1
0_0_3,1,1
0_1_0,1,1
0_1_1,1,1
0_1_2,1,1
0_1_3,1,1
0_2_0,1,1
0_2_1,1,1
0_2_2,1,1
0_2_3,1,1
48_0_0,1,1
48_0_1,1,1
48_0_2,1,1
48_0_3,1,1
48_1_0,1,1
48_1_1,1,1
48_1_2,1,1
48_1_3,1,1
48_2_0,1,1
48_2_1,1,1
48_2_2,1,1
48_2_3,1,1
82_0_0,1,1
82_0_1,1,1
82_0_2,1,1
82_0_3,1,1
82_1_0,1,1
82_1_1,1,1
82_1_2,1,1
82_1_3,1,1
98_0_0,1,1
98_0_1,1,1
98_0_2,1,1
98_0_3,1,1
99_0_0,1,1
99_0_1,1,1
99_0_2,1,1
99_0_3,1,1
24_0_0,1,1
24_0_1,1,1
24_0_2,1,1
24_0_3,1,1
24_1_0,1,1
24_1_1,1,1
24_1_2,1,1
24_1_3,1,1
573_0_0,1,1
573_0_1,1,1
573_0_2,1,1
573_0_3,1,1
573_1_0,1,1
573_1_1,1,1
573_1_2,1,1
573_1_3,1,1
704_0_0,0,0
704_1_0,0,0
1728_0_0,0,0
2240_0_0,0,0
2240_1_0,0,0
1_0_0,0,0
129_0_0,0,0
129_1_0,0,0
129_2_0,0,0
1601_0_0,0,0
2369_0_0,0,0
2_0_0,0,0
2_1_0,0,0
3_0_0,0,0
4_0_0,0,0
6_0_0,0,0
454_0_0,0,0
7_0_0,0,0
8_0_0,0,0
72_0_0,0,0
1674_0_0,0,0
17_0_0,0,0
1683_0_0,0,0
20_0_0,0,0
85_0_0,0,0
345_0_0,0,0
2457_0_0,0,0
2457_1_0,0,0
2457_2_0,0,0
28_0_0,0,0
1372_0_0,0,0
1372_1_0,0,0
30_0_0,0,0
2271_0_0,0,0
416_0_0,0,0
36_0_0,0,0
1316_0_0,0,0
109_0_0,0,0
109_1_0,0,0
174_0_0,0,0
2353_0_0,0,0
1906_0_0,0,0
1906_1_0,0,0
564_0_0,0,0
564_1_0,0,0
564_2_0,0,0
53_0_0,0,0
117_0_0,0,0
54_0_0,0,0
56_0_0,0,0
1595_0_0,0,0
1595_1_0,0,0
1404_0_0,0,0
2300_0_0,0,0
63_0_0,0,0
63_1_0,0,0
