graph_id,is_correct,feature_5144,feature_1
193_0_0,1,0,1
1668_0_0,1,0,1
1668_1_0,1,0,1
1732_0_0,1,0,1
357_0_0,1,0,1
357_1_0,1,0,1
357_2_0,1,0,1
2021_0_0,1,0,1
2021_1_0,1,0,1
297_0_0,1,0,1
1003_0_0,1,0,1
1357_0_0,1,0,1
1357_1_0,1,0,1
975_0_0,1,0,1
1519_0_0,1,0,1
2064_0_0,1,0,1
2064_1_0,1,0,1
2160_0_0,1,0,1
211_0_0,1,0,1
211_1_0,1,0,1
1238_0_0,1,0,1
1238_1_0,1,0,1
378_0_0,1,0,1
91_0_0,1,0,0
1884_0_0,1,0,1
1884_1_0,1,0,1
1884_2_0,1,0,1
1085_0_0,1,0,1
638_0_0,1,0,1
2558_0_0,1,0,1
319_0_0,1,0,1
1823_0_0,1,0,1
602_0_0,0,1,0
602_0_1,0,1,0
602_0_2,0,1,0
602_0_3,0,1,0
602_0_4,0,1,0
602_0_5,0,1,0
602_0_6,0,1,0
602_0_7,0,1,0
602_0_8,0,1,0
602_0_9,0,1,0
602_0_10,0,1,0
602_1_0,0,1,0
602_1_1,0,1,0
602_1_2,0,1,0
602_1_3,0,1,0
602_1_4,0,1,0
602_1_5,0,1,0
602_1_6,0,1,0
602_1_7,0,1,0
602_1_8,0,1,0
602_1_9,0,1,0
602_1_10,0,1,0
602_2_0,0,1,0
602_2_1,0,1,0
602_2_2,0,1,0
602_2_3,0,1,0
602_2_4,0,1,0
602_2_5,0,1,0
602_2_6,0,1,0
602_2_7,0,1,0
602_2_8,0,1,0
602_2_9,0,1,0
602_2_10,0,1,0
