graph_id,is_correct,feature_4001,feature_17,feature_407
2017_0_0,1,1,1,1
2017_1_0,1,1,1,1
1347_0_0,1,1,1,1
710_0_0,1,1,1,1
1126_0_0,1,0,1,1
1995_0_0,1,1,1,1
1965_0_0,1,1,1,1
559_0_0,1,1,1,1
1617_0_0,1,0,1,0
1873_0_0,1,1,1,1
626_0_0,1,1,1,1
1524_0_0,1,0,1,1
405_0_0,1,1,1,1
405_1_0,1,1,1,1
2134_0_0,1,1,1,1
2134_1_0,1,1,1,1
152_0_0,1,1,1,1
1208_0_0,1,1,1,1
153_0_0,1,1,1,0
1599_0_0,1,1,1,1
1599_1_0,1,1,1,1
2338_0_0,0,0,0,1
2338_0_1,0,0,0,1
2338_0_2,0,0,0,1
2338_0_3,0,0,0,1
2338_0_4,0,0,0,1
2338_0_5,0,0,0,1
2338_1_0,0,0,0,1
2338_1_1,0,0,0,1
2338_1_2,0,0,0,1
2338_1_3,0,0,0,1
2338_1_4,0,0,0,1
2338_1_5,0,0,0,1
1238_0_0,0,0,1,0
1238_0_1,0,0,1,0
1238_0_2,0,0,1,0
1238_0_3,0,0,1,0
1238_0_4,0,0,1,0
1238_0_5,0,0,1,0
1129_0_0,0,0,0,0
1129_0_1,0,0,0,0
1129_0_2,0,0,0,0
1129_0_3,0,0,0,0
1129_0_4,0,0,0,0
1129_0_5,0,0,0,0
