graph_id,is_correct,feature_1689,feature_834,feature_1965,feature_1685,feature_6857,feature_1984,feature_1751
512_0_0,1,0,1,1,0,0,0,1
1_0_0,1,0,0,0,0,0,0,1
1_1_0,1,0,0,0,0,0,0,1
1_2_0,1,0,0,0,0,0,0,1
2_0_0,1,0,1,1,0,0,0,1
3_0_0,1,0,1,0,0,0,0,0
2563_0_0,1,0,1,1,0,0,0,1
2563_1_0,1,0,1,1,0,0,0,1
4_0_0,1,0,1,1,0,0,0,1
388_0_0,1,0,1,1,0,0,0,1
388_1_0,1,0,1,1,0,0,0,1
388_2_0,1,0,1,1,0,0,0,1
2564_0_0,1,0,1,1,0,0,0,1
2564_1_0,1,0,1,1,0,0,0,1
2564_2_0,1,0,1,1,0,0,0,1
5_0_0,1,0,1,1,0,0,0,1
6_0_0,1,0,0,1,0,0,0,0
2566_0_0,1,0,1,1,0,0,0,1
2566_1_0,1,0,1,1,0,0,0,1
7_0_0,1,0,1,0,1,0,0,0
8_0_0,1,0,1,0,0,0,0,1
8_1_0,1,0,1,0,0,0,0,1
8_2_0,1,0,1,0,0,0,0,1
521_0_0,1,0,1,1,0,0,0,1
1033_0_0,1,0,1,1,0,0,0,1
1033_1_0,1,0,1,1,0,0,0,1
2569_0_0,1,0,1,1,0,0,0,1
522_0_0,1,0,1,1,0,0,0,0
2058_0_0,1,0,1,1,0,0,0,1
2442_0_0,1,0,1,1,0,0,0,1
524_0_0,1,0,1,0,0,0,0,1
1293_0_0,1,0,1,1,0,0,0,1
2061_0_0,1,0,1,1,0,0,0,0
14_0_0,1,0,1,1,0,1,1,0
15_0_0,1,0,1,1,0,1,1,0
911_0_0,1,0,1,1,0,0,0,1
912_0_0,1,0,1,1,0,0,0,1
18_0_0,1,0,1,1,0,0,0,0
274_0_0,1,0,1,1,0,0,0,1
274_1_0,1,0,1,1,0,0,0,1
19_0_0,1,0,1,1,0,0,0,1
531_0_0,1,0,1,1,0,0,0,1
20_0_0,1,0,1,1,0,0,0,1
22_0_0,1,0,1,0,0,0,0,1
662_0_0,1,0,1,1,0,0,0,1
23_0_0,1,0,1,0,0,0,0,1
2071_0_0,1,0,1,1,0,0,0,1
2201_0_0,1,0,1,1,0,0,0,0
26_0_0,1,0,1,1,0,0,0,0
26_1_0,1,0,1,1,0,0,0,0
26_2_0,1,0,1,1,0,0,0,0
922_0_0,1,0,1,1,0,0,0,1
27_0_0,1,0,0,1,0,0,0,0
28_0_0,1,0,1,1,0,0,0,1
924_0_0,1,0,1,1,0,0,0,1
542_0_0,1,0,1,1,0,0,0,1
2463_0_0,1,0,0,0,0,0,0,0
2463_1_0,1,0,0,0,0,0,0,0
2463_2_0,1,0,0,0,0,0,0,0
928_0_0,1,0,0,0,0,1,1,0
300_0_0,1,0,0,0,0,0,1,0
687_0_0,1,0,1,1,0,0,0,1
2479_0_0,1,0,1,1,0,0,0,0
305_0_0,1,0,1,1,0,0,0,1
1843_0_0,1,0,1,1,0,0,0,1
692_0_0,1,0,1,1,0,0,0,0
1465_0_0,1,0,1,1,0,0,0,1
187_0_0,1,0,1,1,0,0,0,1
1083_0_0,1,0,1,1,0,0,0,1
1083_1_0,1,0,1,1,0,0,0,1
1083_2_0,1,0,1,1,0,0,0,1
577_0_0,1,0,1,1,0,0,0,1
577_1_0,1,0,1,1,0,0,0,1
452_0_0,1,0,1,1,0,0,0,1
2126_0_0,1,0,0,0,0,0,0,0
723_0_0,1,0,1,1,0,0,0,1
340_0_0,1,0,1,1,0,0,0,1
340_1_0,1,0,1,1,0,0,0,1
2389_0_0,1,0,1,0,0,0,0,0
345_0_0,1,0,1,1,0,0,0,1
219_0_0,1,0,1,0,0,0,0,1
219_1_0,1,0,1,0,0,0,0,1
478_0_0,1,0,1,1,0,0,0,0
478_1_0,1,0,1,1,0,0,0,0
2143_0_0,1,0,0,0,1,0,0,0
737_0_0,1,0,1,1,0,0,0,1
737_1_0,1,0,1,1,0,0,0,1
1126_0_0,1,0,1,1,0,0,0,1
104_0_0,1,0,1,1,0,0,0,1
1769_0_0,1,0,1,1,0,0,0,1
1769_1_0,1,0,1,1,0,0,0,1
113_0_0,1,0,1,1,0,0,0,1
113_1_0,1,0,1,1,0,0,0,1
1395_0_0,1,0,1,1,0,0,0,1
2550_0_0,1,0,0,0,0,0,0,0
633_0_0,1,0,1,1,0,0,0,1
2042_0_0,1,0,0,0,0,0,0,0
2042_1_0,1,0,0,0,0,0,0,0
2042_2_0,1,0,0,0,0,0,0,0
507_0_0,1,0,1,1,0,0,0,1
2555_0_0,1,0,0,1,0,0,0,0
2064_0_0,0,1,0,0,1,1,1,0
2064_0_1,0,1,0,0,1,1,1,0
2064_0_2,0,1,0,0,1,1,1,0
2064_0_3,0,1,0,0,1,1,1,0
2064_0_4,0,1,0,0,1,1,1,0
2064_0_5,0,1,0,0,1,1,1,0
2064_0_6,0,1,0,0,1,1,1,0
2064_0_7,0,1,0,0,1,1,1,0
2064_0_8,0,1,0,0,1,1,1,0
2064_0_9,0,1,0,0,1,1,1,0
2064_0_10,0,1,0,0,1,1,1,0
2064_0_11,0,1,0,0,1,1,1,0
2064_0_12,0,1,0,0,1,1,1,0
2064_0_13,0,1,0,0,1,1,1,0
2064_0_14,0,1,0,0,1,1,1,0
2064_0_15,0,1,0,0,1,1,1,0
2064_0_16,0,1,0,0,1,1,1,0
2064_0_17,0,1,0,0,1,1,1,0
2064_0_18,0,1,0,0,1,1,1,0
2064_0_19,0,1,0,0,1,1,1,0
2064_0_20,0,1,0,0,1,1,1,0
2064_0_21,0,1,0,0,1,1,1,0
2064_0_22,0,1,0,0,1,1,1,0
2064_0_23,0,1,0,0,1,1,1,0
2064_0_24,0,1,0,0,1,1,1,0
2064_0_25,0,1,0,0,1,1,1,0
515_0_0,0,1,0,0,1,1,1,0
515_0_1,0,1,0,0,1,1,1,0
515_0_2,0,1,0,0,1,1,1,0
515_0_3,0,1,0,0,1,1,1,0
515_0_4,0,1,0,0,1,1,1,0
515_0_5,0,1,0,0,1,1,1,0
515_0_6,0,1,0,0,1,1,1,0
515_0_7,0,1,0,0,1,1,1,0
515_0_8,0,1,0,0,1,1,1,0
515_0_9,0,1,0,0,1,1,1,0
515_0_10,0,1,0,0,1,1,1,0
515_0_11,0,1,0,0,1,1,1,0
