graph_id,is_correct,feature_11592,feature_4992,feature_17190,feature_37492,feature_16151
99_0_0,1,1,0,1,0,1
99_0_1,1,1,0,1,0,1
931_0_0,1,1,1,0,1,1
931_0_1,1,1,1,0,1,1
294_0_0,1,1,1,0,1,0
294_0_1,1,1,1,0,1,0
294_1_0,1,1,1,0,1,0
294_1_1,1,1,1,0,1,0
140_0_0,1,1,1,0,1,1
140_0_1,1,1,1,0,1,1
304_0_0,0,0,0,1,0,0
641_0_0,0,0,0,0,1,0
563_0_0,0,1,0,1,0,0
484_0_0,0,0,0,1,0,0
532_0_0,0,0,0,1,0,0
532_1_0,0,0,0,1,0,0
677_0_0,0,1,1,0,0,0
278_0_0,0,0,0,1,0,0
726_0_0,0,0,0,1,0,0
726_1_0,0,0,0,1,0,0
726_2_0,0,0,0,1,0,0
397_0_0,0,0,0,1,1,0
941_0_0,0,0,0,1,0,0
