graph_id,is_correct,feature_13282,feature_17389,feature_20759,feature_14155,feature_20070
865_0_0,1,1,0,0,0,1
4357_0_0,1,0,0,0,0,0
679_0_0,1,1,1,0,0,1
1095_0_0,1,1,1,0,0,0
1095_1_0,1,1,1,0,0,0
1575_0_0,1,1,1,0,0,1
1575_1_0,1,1,1,0,0,1
1575_2_0,1,1,1,0,0,1
2832_0_0,1,1,0,0,1,0
4112_0_0,1,0,1,1,0,0
1937_0_0,1,1,0,0,1,0
436_0_0,1,1,1,0,0,1
4244_0_0,1,1,1,1,0,0
4244_1_0,1,1,1,1,0,0
3990_0_0,1,1,0,0,0,0
3990_1_0,1,1,0,0,0,0
3990_2_0,1,1,0,0,0,0
1688_0_0,1,1,1,1,0,0
1817_0_0,1,1,1,1,0,0
1817_1_0,1,1,1,1,0,0
1817_2_0,1,1,1,1,0,0
3385_0_0,1,1,1,0,1,0
3385_1_0,1,1,1,0,1,0
4697_0_0,1,0,0,0,0,0
986_0_0,1,1,1,1,0,0
3038_0_0,1,0,1,0,1,1
2689_0_0,0,0,1,0,1,0
1027_0_0,0,0,0,0,0,0
1027_1_0,0,0,0,0,0,0
4422_0_0,0,0,0,0,0,0
1031_0_0,0,0,0,0,0,0
3079_0_0,0,0,0,0,1,0
267_0_0,0,0,0,0,0,0
3596_0_0,0,0,1,0,1,0
3596_1_0,0,0,1,0,1,0
3150_0_0,0,0,1,0,1,0
3150_1_0,0,0,1,0,1,0
3150_2_0,0,0,1,0,1,0
4496_0_0,0,0,0,0,0,0
4496_1_0,0,0,0,0,0,0
4496_2_0,0,0,0,0,0,0
2513_0_0,0,0,0,0,1,0
4306_0_0,0,0,0,0,0,0
3284_0_0,0,0,0,0,1,0
1365_0_0,0,0,1,0,0,1
2070_0_0,0,0,0,0,0,0
2070_1_0,0,0,0,0,0,0
2902_0_0,0,0,1,0,1,0
279_0_0,0,0,0,0,0,0
923_0_0,0,0,1,0,0,0
4638_0_0,0,0,1,0,0,0
3552_0_0,0,0,0,0,1,0
4513_0_0,0,0,1,0,0,0
2086_0_0,0,0,0,0,0,0
3238_0_0,0,0,1,0,1,0
3238_1_0,0,0,1,0,1,0
3238_2_0,0,0,1,0,1,0
3622_0_0,0,0,1,0,1,0
3622_1_0,0,0,1,0,1,0
935_0_0,0,0,1,0,0,0
2599_0_0,0,0,0,0,1,0
746_0_0,0,0,0,0,0,0
2858_0_0,0,0,0,0,1,0
2858_1_0,0,0,0,0,1,0
4912_0_0,0,0,0,0,0,0
561_0_0,0,0,0,0,0,0
3441_0_0,0,0,0,0,1,0
3700_0_0,0,0,0,0,0,0
3255_0_0,0,0,0,0,1,0
3255_1_0,0,0,0,0,1,0
250_0_0,0,0,1,0,0,0
2810_0_0,0,0,0,0,1,0
4798_0_0,0,0,0,0,0,0
4798_1_0,0,0,0,0,0,0
