graph_id,is_correct,feature_123909,feature_234315,feature_32,feature_108519,feature_68,feature_243257
2112_0_0,1,0,1,0,0,0,0
1_0_0,1,1,1,0,1,0,0
161_0_0,1,0,0,0,0,1,0
418_0_0,1,0,0,0,0,1,0
1124_0_0,1,0,0,0,0,1,0
1124_1_0,1,0,0,0,0,1,0
1128_0_0,1,1,1,0,1,0,0
1128_1_0,1,1,1,0,1,0,0
237_0_0,1,0,0,0,0,1,0
781_0_0,1,1,1,0,1,0,0
781_1_0,1,1,1,0,1,0,0
1262_0_0,1,0,0,0,0,0,0
1646_0_0,1,0,0,1,0,0,0
1199_0_0,1,0,0,0,0,0,1
1199_1_0,1,0,0,0,0,0,1
1778_0_0,1,1,0,0,1,0,0
213_0_0,1,1,1,0,1,0,1
213_1_0,1,1,1,0,1,0,1
213_2_0,1,1,1,0,1,0,1
213_3_0,1,1,1,0,1,0,1
213_4_0,1,1,1,0,1,0,1
1142_0_0,1,0,0,0,0,1,0
345_0_0,1,0,0,0,0,1,0
2265_0_0,1,0,0,0,0,1,0
2779_0_0,1,0,0,0,1,0,0
1276_0_0,1,1,1,0,1,0,0
2880_0_0,0,0,0,1,0,0,0
2880_1_0,0,0,0,1,0,0,0
2505_0_0,0,0,0,0,0,0,0
2189_0_0,0,0,0,1,1,0,0
1264_0_0,0,0,0,0,1,0,0
1424_0_0,0,0,0,1,0,0,0
1235_0_0,0,0,0,1,0,0,0
1235_1_0,0,0,0,1,0,0,0
1235_2_0,0,0,0,1,0,0,0
1461_0_0,0,0,1,1,0,0,0
2549_0_0,0,0,0,0,0,0,0
2549_1_0,0,0,0,0,0,0,0
278_0_0,0,0,0,1,1,0,0
1206_0_0,0,0,0,1,0,0,0
1206_1_0,0,0,0,1,0,0,0
55_0_0,0,0,0,0,0,0,0
2295_0_0,0,0,0,0,0,0,0
1465_0_0,0,0,0,0,0,0,0
90_0_0,0,0,0,0,0,0,0
90_1_0,0,0,0,0,0,0,0
90_2_0,0,0,0,0,0,0,0
91_0_0,0,0,0,1,1,0,0
91_1_0,0,0,0,1,1,0,0
91_2_0,0,0,0,1,1,0,0
1467_0_0,0,0,0,0,0,0,0
1467_1_0,0,0,0,0,0,0,0
1691_0_0,0,0,0,0,0,0,0
2012_0_0,0,0,0,0,0,0,0
2012_1_0,0,0,0,0,0,0,0
2012_2_0,0,0,0,0,0,0,0
2334_0_0,0,0,0,0,0,0,0
2334_1_0,0,0,0,0,0,0,0
2334_2_0,0,0,0,0,0,0,0
2334_3_0,0,0,0,0,0,0,0
2334_4_0,0,0,0,0,0,0,0
