graph_id,is_correct,feature_14,feature_10,feature_1590,feature_45,feature_7,feature_4772,feature_88,feature_90,feature_157
4_0_0,1,1,0,0,0,0,1,0,0,0
4_1_0,1,1,0,0,0,0,1,0,0,0
4_2_0,1,1,0,0,0,0,1,0,0,0
4_3_0,1,1,0,0,0,0,1,0,0,0
4_4_0,1,1,0,0,0,0,1,0,0,0
5_0_0,1,1,0,1,0,0,1,0,0,0
5_1_0,1,1,0,1,0,0,1,0,0,0
5_2_0,1,1,0,1,0,0,1,0,0,0
5_3_0,1,1,0,1,0,0,1,0,0,0
5_4_0,1,1,0,1,0,0,1,0,0,0
3205_0_0,1,1,0,1,0,0,0,1,0,0
6_0_0,1,1,0,0,0,0,1,0,0,0
6_1_0,1,1,0,0,0,0,1,0,0,0
6_2_0,1,1,0,0,0,0,1,0,0,0
6_3_0,1,1,0,0,0,0,1,0,0,0
6_4_0,1,1,0,0,0,0,1,0,0,0
647_0_0,1,1,0,1,0,0,0,0,0,0
2824_0_0,1,1,0,0,0,0,0,1,0,0
523_0_0,1,1,1,1,0,0,0,0,0,0
2577_0_0,1,1,1,1,0,1,0,0,0,0
1300_0_0,1,1,1,0,1,0,0,0,0,0
405_0_0,1,1,1,1,0,1,0,0,0,0
2069_0_0,1,0,0,0,0,1,0,0,0,0
2069_1_0,1,0,0,0,0,1,0,0,0,0
3229_0_0,1,0,1,0,0,0,0,0,0,1
2721_0_0,1,1,0,1,0,0,1,0,0,0
1956_0_0,1,1,1,1,0,1,0,0,0,0
1956_1_0,1,1,1,1,0,1,0,0,0,0
2470_0_0,1,1,0,1,0,0,0,0,0,0
2470_1_0,1,1,0,1,0,0,0,0,0,0
807_0_0,1,1,0,0,1,0,0,0,0,0
807_1_0,1,1,0,0,1,0,0,0,0,0
2727_0_0,1,1,1,1,0,0,0,0,0,1
429_0_0,1,1,0,1,0,0,1,0,0,0
1072_0_0,1,1,0,0,1,0,0,0,0,1
1331_0_0,1,0,1,0,0,1,0,0,0,0
1331_1_0,1,0,1,0,0,1,0,0,0,0
2356_0_0,1,1,1,0,1,0,0,0,0,0
3512_0_0,1,1,0,1,0,0,1,0,0,0
578_0_0,1,1,0,1,0,0,0,0,0,0
3398_0_0,1,1,0,0,0,0,0,0,0,0
327_0_0,1,1,1,1,0,1,0,0,0,0
327_1_0,1,1,1,1,0,1,0,0,0,0
327_2_0,1,1,1,1,0,1,0,0,0,0
327_3_0,1,1,1,1,0,1,0,0,0,0
583_0_0,1,0,1,0,0,0,0,0,0,1
583_1_0,1,0,1,0,0,0,0,0,0,1
583_2_0,1,0,1,0,0,0,0,0,0,1
583_3_0,1,0,1,0,0,0,0,0,0,1
583_4_0,1,0,1,0,0,0,0,0,0,1
213_0_0,1,0,1,0,0,0,0,0,0,1
213_1_0,1,0,1,0,0,0,0,0,0,1
341_0_0,1,0,1,0,0,0,0,0,0,0
2261_0_0,1,0,1,0,0,0,0,0,0,1
2261_1_0,1,0,1,0,0,0,0,0,0,1
1752_0_0,1,1,0,0,0,0,0,0,0,0
1752_1_0,1,1,0,0,0,0,0,0,0,0
218_0_0,1,1,1,0,0,0,0,0,0,0
218_1_0,1,1,1,0,0,0,0,0,0,0
859_0_0,1,1,0,1,0,0,0,0,1,0
2014_0_0,1,1,0,0,0,0,0,1,0,0
1759_0_0,1,0,1,0,0,1,0,0,0,1
1759_1_0,1,0,1,0,0,1,0,0,0,1
1759_2_0,1,0,1,0,0,1,0,0,0,1
1759_3_0,1,0,1,0,0,1,0,0,0,1
1759_4_0,1,0,1,0,0,1,0,0,0,1
1760_0_0,1,1,1,0,1,1,1,0,0,1
1760_1_0,1,1,1,0,1,1,1,0,0,1
1760_2_0,1,1,1,0,1,1,1,0,0,1
1760_3_0,1,1,1,0,1,1,1,0,0,1
1760_4_0,1,1,1,0,1,1,1,0,0,1
2025_0_0,1,1,1,0,0,0,0,0,0,0
1898_0_0,1,0,1,0,0,0,0,0,0,0
1898_1_0,1,0,1,0,0,0,0,0,0,0
2154_0_0,1,1,1,1,0,1,0,0,0,0
2154_1_0,1,1,1,1,0,1,0,0,0,0
2154_2_0,1,1,1,1,0,1,0,0,0,0
2154_3_0,1,1,1,1,0,1,0,0,0,0
2154_4_0,1,1,1,1,0,1,0,0,0,0
1899_0_0,1,0,1,0,0,0,0,0,0,0
1899_1_0,1,0,1,0,0,0,0,0,0,0
1772_0_0,1,1,1,1,0,0,0,0,0,0
1262_0_0,1,1,0,1,0,0,0,0,0,0
1262_1_0,1,1,0,1,0,0,0,0,0,0
1263_0_0,1,0,0,0,0,0,0,0,0,0
1263_1_0,1,0,0,0,0,0,0,0,0,0
1263_2_0,1,0,0,0,0,0,0,0,0,0
1263_3_0,1,0,0,0,0,0,0,0,0,0
3186_0_0,1,0,1,0,0,0,0,0,0,0
3186_1_0,1,0,1,0,0,0,0,0,0,0
3186_2_0,1,0,1,0,0,0,0,0,0,0
3186_3_0,1,0,1,0,0,0,0,0,0,0
3186_4_0,1,0,1,0,0,0,0,0,0,0
1780_0_0,1,0,1,0,0,0,0,0,1,0
1780_1_0,1,0,1,0,0,0,0,0,1,0
