graph_id,is_correct,feature_14435,feature_12400,feature_1430,feature_5177,feature_4853,feature_7722,feature_12589,feature_164,feature_8,feature_14,feature_12556,feature_2675,feature_6837,feature_1252,feature_8232,feature_101,feature_1247,feature_11491,feature_6713,feature_477
259_0_0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
259_1_0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
772_0_0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1796_0_0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1796_1_0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2820_0_0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2312_0_0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
2312_1_0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
2574_0_0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
2830_0_0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
2830_1_0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
2830_2_0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
1295_0_0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0
1295_1_0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0
528_0_0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
528_1_0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
2576_0_0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2576_1_0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
17_0_0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
1810_0_0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
789_0_0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
789_1_0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
789_2_0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
1813_0_0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
1049_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2458_0_0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
2458_1_0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
1564_0_0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
