graph_id,is_correct,feature_7,feature_7792,feature_43,feature_55
545_0_0,1,1,1,1,0
993_0_0,1,1,0,1,1
2146_0_0,1,1,1,1,0
2146_1_0,1,1,1,1,0
1956_0_0,1,1,1,1,0
838_0_0,1,1,1,1,0
838_1_0,1,1,1,1,0
2246_0_0,1,1,1,1,0
455_0_0,1,0,0,1,0
1351_0_0,1,1,0,0,1
1351_1_0,1,1,0,0,1
1351_2_0,1,1,0,0,1
1672_0_0,1,0,1,1,0
1066_0_0,1,1,1,1,0
1962_0_0,1,1,1,1,0
688_0_0,1,1,0,0,0
688_1_0,1,1,0,0,0
1074_0_0,1,0,1,1,0
1650_0_0,1,1,1,1,0
2227_0_0,1,1,1,1,0
374_0_0,1,1,0,0,0
439_0_0,1,1,1,1,0
1592_0_0,1,1,0,0,0
2075_0_0,1,0,1,1,0
29_0_0,1,1,0,0,0
29_1_0,1,1,0,0,0
29_2_0,1,1,0,0,0
29_3_0,1,1,0,0,0
29_4_0,1,1,0,0,0
2128_0_0,0,1,1,1,0
2128_0_1,0,1,1,1,0
2128_0_2,0,1,1,1,0
1681_0_0,0,0,0,0,0
1681_0_1,0,0,0,0,0
1681_0_2,0,0,0,0,0
1681_1_0,0,0,0,0,0
1681_1_1,0,0,0,0,0
1681_1_2,0,0,0,0,0
2022_0_0,0,0,0,0,1
2022_0_1,0,0,0,0,1
2022_0_2,0,0,0,0,1
2470_0_0,0,1,0,0,0
2470_0_1,0,1,0,0,0
2470_0_2,0,1,0,0,0
2441_0_0,0,1,0,1,1
2441_0_1,0,1,0,1,1
2441_0_2,0,1,0,1,1
698_0_0,0,0,0,0,1
698_0_1,0,0,0,0,1
698_0_2,0,0,0,0,1
1578_0_0,0,0,0,0,1
1578_0_1,0,0,0,0,1
1578_0_2,0,0,0,0,1
1642_0_0,0,0,0,0,1
1642_0_1,0,0,0,0,1
1642_0_2,0,0,0,0,1
2446_0_0,0,0,0,0,0
2446_0_1,0,0,0,0,0
2446_0_2,0,0,0,0,0
2446_1_0,0,0,0,0,0
2446_1_1,0,0,0,0,0
2446_1_2,0,0,0,0,0
