graph_id,is_correct,feature_75535,feature_68705,feature_283259,feature_262528,feature_25,feature_486918,feature_11,feature_0,feature_33,feature_347561
0_0_0,1,0,0,0,0,0,0,1,1,0,0
0_1_0,1,0,0,0,0,0,0,1,1,0,0
1_0_0,1,0,0,0,0,1,0,0,0,0,0
1_1_0,1,0,0,0,0,1,0,0,0,0,0
2_0_0,1,0,0,0,0,0,1,0,0,1,0
2_1_0,1,0,0,0,0,0,1,0,0,1,0
2_2_0,1,0,0,0,0,0,1,0,0,1,0
4_0_0,1,0,0,0,0,0,1,0,1,0,0
6_0_0,1,1,1,0,1,0,0,0,0,0,0
7_0_0,1,0,0,0,0,0,0,0,0,0,1
8_0_0,1,0,0,1,0,0,0,0,0,0,0
10_0_0,1,0,0,0,0,0,0,0,1,0,1
11_0_0,1,0,0,0,0,0,1,0,0,1,0
12_0_0,1,0,0,0,0,0,1,0,0,0,1
12_1_0,1,0,0,0,0,0,1,0,0,0,1
13_0_0,1,0,1,0,1,0,1,0,1,0,0
15_0_0,1,0,0,0,0,1,0,0,1,1,0
15_1_0,1,0,0,0,0,1,0,0,1,1,0
16_0_0,1,0,0,0,0,0,0,0,1,0,1
17_0_0,1,0,0,0,0,0,1,0,1,1,1
18_0_0,1,0,0,1,0,0,1,0,0,0,1
19_0_0,1,0,0,0,0,0,0,0,0,0,0
19_1_0,1,0,0,0,0,0,0,0,0,0,0
19_2_0,1,0,0,0,0,0,0,0,0,0,0
19_3_0,1,0,0,0,0,0,0,0,0,0,0
20_0_0,1,0,0,0,0,1,0,0,0,0,0
21_0_0,1,0,0,0,0,1,1,0,1,1,0
23_0_0,1,0,0,0,0,0,0,0,0,0,0
24_0_0,1,0,0,0,0,0,0,0,0,0,0
27_0_0,1,0,0,0,0,1,1,0,0,1,0
28_0_0,1,0,0,0,0,0,1,0,0,1,0
29_0_0,1,0,0,0,1,1,1,0,1,0,1
29_1_0,1,0,0,0,1,1,1,0,1,0,1
30_0_0,1,0,0,0,0,0,0,0,0,0,1
31_0_0,1,0,0,0,0,0,0,0,0,0,0
33_0_0,1,0,0,0,1,1,0,0,0,0,0
34_0_0,1,0,0,0,0,0,1,0,0,1,1
36_0_0,1,0,0,0,0,1,0,0,0,0,0
37_0_0,1,0,0,0,0,0,0,0,0,0,0
38_0_0,1,0,0,0,1,0,1,0,0,0,0
38_1_0,1,0,0,0,1,0,1,0,0,0,0
38_2_0,1,0,0,0,1,0,1,0,0,0,0
40_0_0,1,0,0,1,0,0,1,0,0,1,1
41_0_0,1,0,1,0,1,0,1,0,0,1,0
