graph_id,is_correct,feature_3527,feature_1985,feature_5774,feature_11894
832_0_0,1,1,1,1,1
832_1_0,1,1,1,1,1
832_2_0,1,1,1,1,1
1057_0_0,1,1,1,1,0
1666_0_0,1,1,1,1,0
2469_0_0,1,1,0,1,0
2469_1_0,1,1,0,1,0
166_0_0,1,1,1,1,1
166_1_0,1,1,1,1,1
166_2_0,1,1,1,1,1
1546_0_0,1,1,1,1,0
1546_1_0,1,1,1,1,0
1546_2_0,1,1,1,1,0
2893_0_0,1,1,0,1,0
1647_0_0,1,1,0,1,0
1297_0_0,1,0,0,1,0
1297_1_0,1,0,0,1,0
1170_0_0,1,1,1,0,0
948_0_0,1,0,0,1,0
948_1_0,1,0,0,1,0
2101_0_0,1,1,1,1,1
2101_1_0,1,1,1,1,1
2101_2_0,1,1,1,1,1
2774_0_0,1,1,1,1,1
2295_0_0,1,1,1,0,0
729_0_0,1,1,1,1,1
1145_0_0,1,0,0,1,0
1145_1_0,1,0,0,1,0
732_0_0,1,0,0,1,1
764_0_0,1,1,1,1,0
764_1_0,1,1,1,1,0
1310_0_0,1,1,1,1,1
1599_0_0,1,1,1,1,0
1599_1_0,1,1,1,1,0
1599_2_0,1,1,1,1,0
114_0_0,0,0,0,0,0
114_0_1,0,0,0,0,0
114_0_2,0,0,0,0,0
114_0_3,0,0,0,0,0
114_1_0,0,0,0,0,0
114_1_1,0,0,0,0,0
114_1_2,0,0,0,0,0
114_1_3,0,0,0,0,0
866_0_0,0,0,0,1,0
866_0_1,0,0,0,1,0
866_0_2,0,0,0,1,0
866_0_3,0,0,0,1,0
1923_0_0,0,1,0,0,0
1923_0_1,0,1,0,0,0
1923_0_2,0,1,0,0,0
1923_0_3,0,1,0,0,0
1734_0_0,0,0,0,0,0
1734_0_1,0,0,0,0,0
1734_0_2,0,0,0,0,0
1734_0_3,0,0,0,0,0
696_0_0,0,0,0,1,0
696_0_1,0,0,0,1,0
696_0_2,0,0,0,1,0
696_0_3,0,0,0,1,0
2504_0_0,0,0,0,1,0
2504_0_1,0,0,0,1,0
2504_0_2,0,0,0,1,0
2504_0_3,0,0,0,1,0
2504_1_0,0,0,0,1,0
2504_1_1,0,0,0,1,0
2504_1_2,0,0,0,1,0
2504_1_3,0,0,0,1,0
2504_2_0,0,0,0,1,0
2504_2_1,0,0,0,1,0
2504_2_2,0,0,0,1,0
2504_2_3,0,0,0,1,0
