graph_id,is_correct,feature_22139,feature_39066,feature_44565,feature_5703,feature_12297,feature_51887,feature_14076,feature_19361,feature_55897,feature_41254
2192_0_0,1,1,1,0,0,1,1,0,1,0,1
2192_0_1,1,1,1,0,0,1,1,0,1,0,1
273_0_0,1,0,1,0,0,1,0,0,1,1,0
273_0_1,1,0,1,0,0,1,0,0,1,1,0
1858_0_0,1,1,1,0,0,0,0,0,0,1,0
1858_0_1,1,1,1,0,0,0,0,0,0,1,0
83_0_0,1,1,1,0,0,0,0,1,0,0,0
83_0_1,1,1,1,0,0,0,0,1,0,0,0
2115_0_0,1,1,1,0,0,1,1,0,1,1,1
2115_0_1,1,1,1,0,0,1,1,0,1,1,1
2422_0_0,1,1,0,0,0,0,0,1,0,0,0
2422_0_1,1,1,0,0,0,0,0,1,0,0,0
2422_1_0,1,1,0,0,0,0,0,1,0,0,0
2422_1_1,1,1,0,0,0,0,0,1,0,0,0
2422_2_0,1,1,0,0,0,0,0,1,0,0,0
2422_2_1,1,1,0,0,0,0,0,1,0,0,0
1400_0_0,1,1,0,0,1,0,0,0,0,0,0
1400_0_1,1,1,0,0,1,0,0,0,0,0,0
1417_0_0,1,1,1,0,0,1,0,0,0,0,1
1417_0_1,1,1,1,0,0,1,0,0,0,0,1
1833_0_0,1,1,1,0,0,1,1,0,1,0,0
1833_0_1,1,1,1,0,0,1,1,0,1,0,0
3083_0_0,1,1,1,0,0,0,1,0,0,1,0
3083_0_1,1,1,1,0,0,0,1,0,0,1,0
1231_0_0,1,1,1,0,0,1,1,0,1,0,0
1231_0_1,1,1,1,0,0,1,1,0,1,0,0
1295_0_0,1,0,1,1,1,0,0,1,0,0,0
1295_0_1,1,0,1,1,1,0,0,1,0,0,0
1728_0_0,0,0,1,0,0,0,0,0,0,1,0
2882_0_0,0,0,0,0,0,0,0,0,0,0,0
67_0_0,0,0,0,1,1,0,0,0,0,0,0
1219_0_0,0,0,0,1,1,0,0,0,0,0,0
1219_1_0,0,0,0,1,1,0,0,0,0,0,0
1219_2_0,0,0,0,1,1,0,0,0,0,0,0
260_0_0,0,0,0,0,0,0,0,0,0,0,0
260_1_0,0,0,0,0,0,0,0,0,0,0,0
260_2_0,0,0,0,0,0,0,0,0,0,0,0
2724_0_0,0,0,0,1,1,0,0,0,0,0,0
517_0_0,0,0,0,0,0,0,0,0,0,0,0
517_1_0,0,0,0,0,0,0,0,0,0,0,0
775_0_0,0,0,0,1,1,0,0,0,0,0,0
1127_0_0,0,0,0,1,1,0,0,0,0,0,0
1991_0_0,0,0,0,1,1,0,0,0,0,0,0
1991_1_0,0,0,0,1,1,0,0,0,0,0,0
2472_0_0,0,0,0,1,1,0,0,0,0,0,0
1162_0_0,0,0,0,1,1,0,0,0,0,0,0
1162_1_0,0,0,0,1,1,0,0,0,0,0,0
2188_0_0,0,0,0,1,1,0,0,0,0,0,0
2188_1_0,0,0,0,1,1,0,0,0,0,0,0
2188_2_0,0,0,0,1,1,0,0,0,0,0,0
653_0_0,0,1,0,1,0,0,0,0,0,0,0
528_0_0,0,0,0,1,1,0,0,0,0,0,0
528_1_0,0,0,0,1,1,0,0,0,0,0,0
2544_0_0,0,0,0,0,0,0,0,0,0,0,0
1782_0_0,0,1,0,0,0,0,0,0,0,0,0
1782_1_0,0,1,0,0,0,0,0,0,0,0,0
1782_2_0,0,1,0,0,0,0,0,0,0,0,0
440_0_0,0,1,1,0,0,1,0,0,0,0,0
440_1_0,0,1,1,0,0,1,0,0,0,0,0
2424_0_0,0,0,0,1,1,0,0,0,0,0,0
2424_1_0,0,0,0,1,1,0,0,0,0,0,0
505_0_0,0,0,0,0,1,0,0,0,0,0,0
505_1_0,0,0,0,0,1,0,0,0,0,0,0
505_2_0,0,0,0,0,1,0,0,0,0,0,0
1434_0_0,0,0,0,0,0,0,0,0,0,0,0
