graph_id,is_correct,feature_6,feature_274820,feature_337307,feature_5,feature_29,feature_410275,feature_18,feature_17,feature_350529,feature_802824
1221_0_0,1,1,0,0,0,0,0,0,0,0,0
1383_0_0,1,0,0,0,0,0,0,0,0,0,0
1130_0_0,1,0,0,0,0,0,0,0,1,0,1
1229_0_0,1,1,1,1,1,0,0,0,0,1,0
1229_1_0,1,1,1,1,1,0,0,0,0,1,0
1389_0_0,1,1,0,0,0,0,0,0,0,1,0
1389_1_0,1,1,0,0,0,0,0,0,0,1,0
1454_0_0,1,0,0,0,0,1,0,1,1,0,1
1454_1_0,1,0,0,0,0,1,0,1,1,0,1
1454_2_0,1,0,0,0,0,1,0,1,1,0,1
1454_3_0,1,0,0,0,0,1,0,1,1,0,1
1454_4_0,1,0,0,0,0,1,0,1,1,0,1
1231_0_0,1,1,1,1,1,0,1,0,0,0,0
944_0_0,1,0,0,0,1,0,0,0,1,0,1
721_0_0,1,0,0,0,0,1,0,0,0,0,0
721_1_0,1,0,0,0,0,1,0,0,0,0,0
178_0_0,1,0,0,0,0,0,0,0,0,0,0
530_0_0,1,1,0,0,0,0,1,1,1,0,0
530_1_0,1,1,0,0,0,0,1,1,1,0,0
530_2_0,1,1,0,0,0,0,1,1,1,0,0
530_3_0,1,1,0,0,0,0,1,1,1,0,0
1492_0_0,1,0,0,1,1,0,0,0,0,0,0
1492_1_0,1,0,0,1,1,0,0,0,0,0,0
214_0_0,1,1,0,0,0,0,0,0,0,0,0
1976_0_0,1,0,0,0,0,0,0,0,0,0,0
1497_0_0,1,1,1,1,1,0,0,0,0,1,0
797_0_0,1,1,0,0,0,0,0,0,0,1,0
94_0_0,1,0,0,0,0,1,0,0,1,0,0
94_1_0,1,0,0,0,0,1,0,0,1,0,0
94_2_0,1,0,0,0,0,1,0,0,1,0,0
94_3_0,1,0,0,0,0,1,0,0,1,0,0
94_4_0,1,0,0,0,0,1,0,0,1,0,0
2078_0_0,1,0,0,0,0,0,0,0,0,0,1
2078_1_0,1,0,0,0,0,0,0,0,0,0,1
2078_2_0,1,0,0,0,0,0,0,0,0,0,1
2078_3_0,1,0,0,0,0,0,0,0,0,0,1
2078_4_0,1,0,0,0,0,0,0,0,0,0,1
1382_0_0,0,1,1,1,1,1,0,1,0,1,0
1382_0_1,0,1,1,1,1,1,0,1,0,1,0
296_0_0,0,1,1,1,1,0,0,0,0,0,0
296_0_1,0,1,1,1,1,0,0,0,0,0,0
2412_0_0,0,1,0,0,0,0,1,0,1,0,0
2412_0_1,0,1,0,0,0,0,1,0,1,0,0
429_0_0,0,0,0,1,1,1,0,1,0,0,0
429_0_1,0,0,0,1,1,1,0,1,0,0,0
1712_0_0,0,1,0,0,0,1,0,0,0,0,0
1712_0_1,0,1,0,0,0,1,0,0,0,0,0
1936_0_0,0,1,0,0,0,1,1,1,0,1,0
1936_0_1,0,1,0,0,0,1,1,1,0,1,0
1936_1_0,0,1,0,0,0,1,1,1,0,1,0
1936_1_1,0,1,0,0,0,1,1,1,0,1,0
1936_2_0,0,1,0,0,0,1,1,1,0,1,0
1936_2_1,0,1,0,0,0,1,1,1,0,1,0
1936_3_0,0,1,0,0,0,1,1,1,0,1,0
1936_3_1,0,1,0,0,0,1,1,1,0,1,0
1936_4_0,0,1,0,0,0,1,1,1,0,1,0
1936_4_1,0,1,0,0,0,1,1,1,0,1,0
1489_0_0,0,1,1,1,1,1,0,1,0,0,0
1489_0_1,0,1,1,1,1,1,0,1,0,0,0
1972_0_0,0,1,1,1,1,1,1,1,0,1,0
1972_0_1,0,1,1,1,1,1,1,1,0,1,0
1972_1_0,0,1,1,1,1,1,1,1,0,1,0
1972_1_1,0,1,1,1,1,1,1,1,0,1,0
437_0_0,0,1,1,1,1,1,1,0,0,0,0
437_0_1,0,1,1,1,1,1,1,0,0,0,0
2453_0_0,0,1,1,1,1,1,0,1,0,1,0
2453_0_1,0,1,1,1,1,1,0,1,0,1,0
1815_0_0,0,1,1,1,1,0,0,0,0,1,0
1815_0_1,0,1,1,1,1,0,0,0,0,1,0
1784_0_0,0,1,1,1,1,1,1,1,0,0,0
1784_0_1,0,1,1,1,1,1,1,1,0,0,0
1816_0_0,0,1,1,1,1,0,1,1,0,1,0
1816_0_1,0,1,1,1,1,0,1,1,0,1,0
285_0_0,0,1,1,1,1,1,0,0,0,1,0
285_0_1,0,1,1,1,1,1,0,0,0,1,0
285_1_0,0,1,1,1,1,1,0,0,0,1,0
285_1_1,0,1,1,1,1,1,0,0,0,1,0
285_2_0,0,1,1,1,1,1,0,0,0,1,0
285_2_1,0,1,1,1,1,1,0,0,0,1,0
285_3_0,0,1,1,1,1,1,0,0,0,1,0
285_3_1,0,1,1,1,1,1,0,0,0,1,0
285_4_0,0,1,1,1,1,1,0,0,0,1,0
285_4_1,0,1,1,1,1,1,0,0,0,1,0
1502_0_0,0,1,1,1,1,1,1,1,0,0,0
1502_0_1,0,1,1,1,1,1,1,1,0,0,0
1502_1_0,0,1,1,1,1,1,1,1,0,0,0
1502_1_1,0,1,1,1,1,1,1,1,0,0,0
1407_0_0,0,1,0,0,0,1,0,0,0,0,0
1407_0_1,0,1,0,0,0,1,0,0,0,0,0
2175_0_0,0,1,1,1,1,1,1,1,0,0,0
2175_0_1,0,1,1,1,1,1,1,1,0,0,0
2175_1_0,0,1,1,1,1,1,1,1,0,0,0
2175_1_1,0,1,1,1,1,1,1,1,0,0,0
2175_2_0,0,1,1,1,1,1,1,1,0,0,0
2175_2_1,0,1,1,1,1,1,1,1,0,0,0
2175_3_0,0,1,1,1,1,1,1,1,0,0,0
2175_3_1,0,1,1,1,1,1,1,1,0,0,0
2175_4_0,0,1,1,1,1,1,1,1,0,0,0
2175_4_1,0,1,1,1,1,1,1,1,0,0,0
