graph_id,is_correct,feature_256117,feature_196186,feature_189289,feature_274663,feature_2579,feature_104242,feature_256116,feature_209036,feature_190987,feature_223688,feature_274269,feature_188929
0_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0
0_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0
1728_0_0,1,1,0,0,0,0,1,0,0,0,0,0,0
1728_0_1,1,1,0,0,0,0,1,0,0,0,0,0,0
1728_1_0,1,1,0,0,0,0,1,0,0,0,0,0,0
1728_1_1,1,1,0,0,0,0,1,0,0,0,0,0,0
129_0_0,1,1,0,0,0,0,1,0,0,0,0,0,0
129_0_1,1,1,0,0,0,0,1,0,0,0,0,0,0
129_1_0,1,1,0,0,0,0,1,0,0,0,0,0,0
129_1_1,1,1,0,0,0,0,1,0,0,0,0,0,0
2497_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0
2497_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0
2114_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0
2114_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0
2114_1_0,1,1,0,0,0,0,0,0,0,0,0,0,0
2114_1_1,1,1,0,0,0,0,0,0,0,0,0,0,0
3_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0
3_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0
195_0_0,1,0,1,1,0,1,0,1,0,0,0,0,1
195_0_1,1,0,1,1,0,1,0,1,0,0,0,0,1
1667_0_0,1,1,0,0,0,0,0,0,0,0,0,1,0
1667_0_1,1,1,0,0,0,0,0,0,0,0,0,1,0
2243_0_0,1,1,1,1,0,1,1,1,0,0,0,0,1
2243_0_1,1,1,1,1,0,1,1,1,0,0,0,0,1
2243_1_0,1,1,1,1,0,1,1,1,0,0,0,0,1
2243_1_1,1,1,1,1,0,1,1,1,0,0,0,0,1
2243_2_0,1,1,1,1,0,1,1,1,0,0,0,0,1
2243_2_1,1,1,1,1,0,1,1,1,0,0,0,0,1
2563_0_0,1,1,0,0,0,0,0,0,0,0,0,1,0
2563_0_1,1,1,0,0,0,0,0,0,0,0,0,1,0
4_0_0,1,1,1,1,0,1,1,1,0,0,0,1,1
4_0_1,1,1,1,1,0,1,1,1,0,0,0,1,1
645_0_0,1,1,0,0,0,0,1,0,0,0,0,1,0
645_0_1,1,1,0,0,0,0,1,0,0,0,0,1,0
1605_0_0,1,1,1,1,0,1,1,1,1,0,1,0,1
1605_0_1,1,1,1,1,0,1,1,1,1,0,1,0,1
1605_1_0,1,1,1,1,0,1,1,1,1,0,1,0,1
1605_1_1,1,1,1,1,0,1,1,1,1,0,1,0,1
1605_2_0,1,1,1,1,0,1,1,1,1,0,1,0,1
1605_2_1,1,1,1,1,0,1,1,1,1,0,1,0,1
518_0_0,1,1,0,0,0,1,0,1,0,0,0,0,1
518_0_1,1,1,0,0,0,1,0,1,0,0,0,0,1
1671_0_0,1,1,0,0,0,1,0,1,0,0,0,0,1
1671_0_1,1,1,0,0,0,1,0,1,0,0,0,0,1
714_0_0,1,0,1,1,0,1,0,1,1,0,1,0,1
714_0_1,1,0,1,1,0,1,0,1,1,0,1,0,1
714_1_0,1,0,1,1,0,1,0,1,1,0,1,0,1
714_1_1,1,0,1,1,0,1,0,1,1,0,1,0,1
2316_0_0,1,1,1,1,0,1,1,1,0,0,0,0,1
2316_0_1,1,1,1,1,0,1,1,1,0,0,0,0,1
2385_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0
2385_0_1,1,0,0,0,0,0,0,0,0,0,0,0,0
2385_1_0,1,0,0,0,0,0,0,0,0,0,0,0,0
2385_1_1,1,0,0,0,0,0,0,0,0,0,0,0,0
851_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0
851_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0
852_0_0,1,1,0,0,0,1,0,1,0,0,0,0,1
852_0_1,1,1,0,0,0,1,0,1,0,0,0,0,1
852_1_0,1,1,0,0,0,1,0,1,0,0,0,0,1
852_1_1,1,1,0,0,0,1,0,1,0,0,0,0,1
852_2_0,1,1,0,0,0,1,0,1,0,0,0,0,1
852_2_1,1,1,0,0,0,1,0,1,0,0,0,0,1
801_0_0,1,0,1,1,0,1,0,0,0,1,0,0,0
801_0_1,1,0,1,1,0,1,0,0,0,1,0,0,0
484_0_0,1,1,0,0,0,0,1,0,0,0,0,1,0
484_0_1,1,1,0,0,0,0,1,0,0,0,0,1,0
230_0_0,1,1,1,1,0,1,1,1,0,0,0,0,1
230_0_1,1,1,1,1,0,1,1,1,0,0,0,0,1
1963_0_0,1,1,0,0,0,0,1,0,0,0,0,0,0
1963_0_1,1,1,0,0,0,0,1,0,0,0,0,0,0
1963_1_0,1,1,0,0,0,0,1,0,0,0,0,0,0
1963_1_1,1,1,0,0,0,0,1,0,0,0,0,0,0
1964_0_0,1,1,0,0,0,0,1,0,0,0,0,0,0
1964_0_1,1,1,0,0,0,0,1,0,0,0,0,0,0
1964_1_0,1,1,0,0,0,0,1,0,0,0,0,0,0
1964_1_1,1,1,0,0,0,0,1,0,0,0,0,0,0
880_0_0,1,1,0,0,0,1,0,1,0,0,0,0,1
880_0_1,1,1,0,0,0,1,0,1,0,0,0,0,1
1329_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0
1329_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0
1329_1_0,1,1,0,0,0,0,0,0,0,0,0,0,0
1329_1_1,1,1,0,0,0,0,0,0,0,0,0,0,0
1651_0_0,1,1,0,0,1,0,0,0,0,0,0,1,0
1651_0_1,1,1,0,0,1,0,0,0,0,0,0,1,0
183_0_0,1,1,1,1,0,1,1,0,0,0,0,1,0
183_0_1,1,1,1,1,0,1,1,0,0,0,0,1,0
2041_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0
2041_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0
384_0_0,0,1,0,0,1,1,0,1,1,0,1,1,1
1792_0_0,0,1,1,1,0,1,0,1,0,1,0,0,1
2048_0_0,0,0,1,1,0,1,0,1,1,0,1,0,1
2048_1_0,0,0,1,1,0,1,0,1,1,0,1,0,1
513_0_0,0,0,1,1,1,1,0,0,1,1,1,1,0
1025_0_0,0,0,0,0,1,0,0,1,1,0,1,1,0
1026_0_0,0,1,1,1,0,1,1,1,0,0,0,0,0
1666_0_0,0,0,1,1,0,1,0,1,0,0,0,0,1
643_0_0,0,0,1,1,1,1,0,1,1,1,1,1,1
1283_0_0,0,0,1,1,1,1,0,1,1,1,1,1,1
1283_1_0,0,0,1,1,1,1,0,1,1,1,1,1,1
2179_0_0,0,1,1,1,0,1,0,1,0,0,0,0,1
773_0_0,0,1,1,1,1,1,0,1,1,1,1,1,1
1414_0_0,0,0,1,1,0,1,0,1,1,1,1,1,1
1931_0_0,0,0,1,1,1,1,0,1,1,1,1,1,1
2447_0_0,0,0,1,1,1,1,0,1,1,0,1,1,1
1169_0_0,0,1,1,1,1,1,0,1,1,0,1,1,1
1169_1_0,0,1,1,1,1,1,0,1,1,0,1,1,1
402_0_0,0,0,1,1,0,1,0,1,0,1,0,0,1
402_1_0,0,0,1,1,0,1,0,1,0,1,0,0,1
1044_0_0,0,0,1,1,1,1,0,1,1,1,1,1,1
2068_0_0,0,0,1,1,1,1,0,1,1,0,1,1,1
406_0_0,0,0,1,1,1,1,0,1,0,0,0,1,1
918_0_0,0,0,1,1,1,1,0,1,1,1,1,1,1
918_1_0,0,0,1,1,1,1,0,1,1,1,1,1,1
2457_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0
158_0_0,0,0,1,1,1,1,0,1,1,1,1,1,1
158_1_0,0,0,1,1,1,1,0,1,1,1,1,1,1
542_0_0,0,1,1,1,1,1,0,1,1,1,1,1,1
1823_0_0,0,0,1,1,0,1,0,1,0,1,0,0,1
1057_0_0,0,1,1,1,1,1,0,1,1,0,0,1,1
2210_0_0,0,1,1,1,1,1,1,1,1,0,1,1,1
1956_0_0,0,0,0,0,0,1,0,1,1,0,1,1,1
1704_0_0,0,1,1,1,0,1,0,1,0,1,0,0,1
559_0_0,0,0,1,0,0,1,0,1,0,0,0,0,0
943_0_0,0,0,1,1,1,1,0,1,0,0,0,1,1
176_0_0,0,0,1,1,0,1,0,0,0,0,0,0,0
560_0_0,0,0,0,0,1,0,0,0,0,0,0,1,0
177_0_0,0,0,1,1,0,1,0,1,0,0,0,0,0
1841_0_0,0,0,1,1,1,1,0,1,1,1,1,1,1
2099_0_0,0,0,1,1,0,1,0,0,1,0,1,0,0
2099_1_0,0,0,1,1,0,1,0,0,1,0,1,0,0
1461_0_0,0,1,1,1,0,1,0,1,1,0,1,0,1
1461_1_0,0,1,1,1,0,1,0,1,1,0,1,0,1
