graph_id,is_correct,feature_8659,feature_19467,feature_35,feature_42
352_0_0,1,1,0,1,1
352_0_1,1,1,0,1,1
2898_0_0,1,1,1,0,0
2898_0_1,1,1,1,0,0
2898_1_0,1,1,1,0,0
2898_1_1,1,1,1,0,0
2216_0_0,1,1,1,0,0
2216_0_1,1,1,1,0,0
2216_1_0,1,1,1,0,0
2216_1_1,1,1,1,0,0
922_0_0,1,1,1,0,0
922_0_1,1,1,1,0,0
4046_0_0,1,1,0,1,1
4046_0_1,1,1,0,1,1
1216_0_0,0,0,0,1,1
802_0_0,0,1,0,1,0
46_0_0,0,0,0,1,1
2159_0_0,0,0,0,1,1
2992_0_0,0,0,0,1,1
147_0_0,0,0,0,1,1
3699_0_0,0,0,0,1,1
84_0_0,0,0,0,1,1
84_1_0,0,0,0,1,1
84_2_0,0,0,0,1,1
84_3_0,0,0,0,1,1
84_4_0,0,0,0,1,1
1652_0_0,0,1,0,1,1
3508_0_0,0,1,0,1,1
535_0_0,0,0,0,1,1
1400_0_0,0,0,0,1,1
1499_0_0,0,1,0,0,0
700_0_0,0,0,0,1,1
1182_0_0,0,0,0,1,1
