graph_id,is_correct,feature_2090,feature_164
3_0_0,1,0,0
53_0_0,1,0,1
53_1_0,1,0,1
53_2_0,1,0,1
53_3_0,1,0,1
53_4_0,1,0,1
54_0_0,1,0,1
54_1_0,1,0,1
9_0_0,1,0,1
9_1_0,1,0,1
9_2_0,1,0,1
9_3_0,1,0,1
9_4_0,1,0,1
10_0_0,1,0,1
10_1_0,1,0,1
10_2_0,1,0,1
10_3_0,1,0,1
10_4_0,1,0,1
45_0_0,1,0,0
46_0_0,1,0,0
15_0_0,1,0,1
15_1_0,1,0,1
70_0_0,0,1,0
70_0_1,0,1,0
70_0_2,0,1,0
70_0_3,0,1,0
70_1_0,0,1,0
70_1_1,0,1,0
70_1_2,0,1,0
70_1_3,0,1,0
70_2_0,0,1,0
70_2_1,0,1,0
70_2_2,0,1,0
70_2_3,0,1,0
70_3_0,0,1,0
70_3_1,0,1,0
70_3_2,0,1,0
70_3_3,0,1,0
70_4_0,0,1,0
70_4_1,0,1,0
70_4_2,0,1,0
70_4_3,0,1,0
7_0_0,0,1,0
7_0_1,0,1,0
7_0_2,0,1,0
7_0_3,0,1,0
