graph_id,is_correct,feature_14,feature_5
0_0_0,1,0,1
0_1_0,1,0,1
0_2_0,1,0,1
0_3_0,1,0,1
1_0_0,1,1,0
1_1_0,1,1,0
1_2_0,1,1,0
1_3_0,1,1,0
1_4_0,1,1,0
2_0_0,1,1,0
2_1_0,1,1,0
2_2_0,1,1,0
2_3_0,1,1,0
2_4_0,1,1,0
7_0_0,1,1,0
7_1_0,1,1,0
7_2_0,1,1,0
7_3_0,1,1,0
7_4_0,1,1,0
8_0_0,1,0,1
8_1_0,1,0,1
12_0_0,1,0,1
3_0_0,0,0,0
3_0_1,0,0,0
3_0_2,0,0,0
3_1_0,0,0,0
3_1_1,0,0,0
3_1_2,0,0,0
4_0_0,0,0,0
4_0_1,0,0,0
4_0_2,0,0,0
4_1_0,0,0,0
4_1_1,0,0,0
4_1_2,0,0,0
6_0_0,0,0,0
6_0_1,0,0,0
6_0_2,0,0,0
9_0_0,0,1,0
9_0_1,0,1,0
9_0_2,0,1,0
10_0_0,0,0,0
10_0_1,0,0,0
10_0_2,0,0,0
10_1_0,0,0,0
10_1_1,0,0,0
10_1_2,0,0,0
10_2_0,0,0,0
10_2_1,0,0,0
10_2_2,0,0,0
10_3_0,0,0,0
10_3_1,0,0,0
10_3_2,0,0,0
