graph_id,is_correct,feature_12684,feature_611,feature_10
1_0_0,1,1,1,1
1_1_0,1,1,1,1
1_2_0,1,1,1,1
1_3_0,1,1,1,1
1_4_0,1,1,1,1
2_0_0,1,1,1,1
2_1_0,1,1,1,1
2_2_0,1,1,1,1
2_3_0,1,1,1,1
2_4_0,1,1,1,1
34_0_0,1,1,1,1
34_1_0,1,1,1,1
34_2_0,1,1,1,1
34_3_0,1,1,1,1
20_0_0,1,1,1,1
5_0_0,1,1,0,1
5_1_0,1,1,0,1
37_0_0,1,1,1,1
37_1_0,1,1,1,1
22_0_0,1,1,1,1
12_0_0,1,0,1,1
16_0_0,0,0,0,0
16_1_0,0,0,0,0
16_2_0,0,0,0,0
16_3_0,0,0,0,0
16_4_0,0,0,0,0
17_0_0,0,0,0,0
17_1_0,0,0,0,0
17_2_0,0,0,0,0
17_3_0,0,0,0,0
17_4_0,0,0,0,0
21_0_0,0,0,1,0
38_0_0,0,0,0,0
38_1_0,0,0,0,0
38_2_0,0,0,0,0
38_3_0,0,0,0,0
38_4_0,0,0,0,0
23_0_0,0,0,0,1
24_0_0,0,0,1,0
13_0_0,0,0,0,0
15_0_0,0,0,0,1
15_1_0,0,0,0,1
15_2_0,0,0,0,1
15_3_0,0,0,0,1
15_4_0,0,0,0,1
31_0_0,0,0,1,0
