graph_id,is_correct,feature_2960,feature_3177,feature_4937,feature_1290
192_0_0,1,1,1,0,0
1_0_0,1,1,1,1,0
1_1_0,1,1,1,1,0
193_0_0,1,1,1,0,0
2_0_0,1,1,1,0,0
2_1_0,1,1,1,0,0
66_0_0,1,1,0,0,1
66_1_0,1,1,0,0,1
66_2_0,1,1,0,0,1
130_0_0,1,0,0,0,0
3_0_0,1,1,1,1,0
3_1_0,1,1,1,1,0
131_0_0,1,0,0,0,0
4_0_0,1,1,1,0,1
4_1_0,1,1,1,0,1
5_0_0,1,1,1,0,0
5_1_0,1,1,1,0,0
197_0_0,1,1,1,1,0
197_1_0,1,1,1,1,0
6_0_0,1,1,1,0,0
6_1_0,1,1,1,0,0
7_0_0,1,1,0,1,0
7_1_0,1,1,0,1,0
7_2_0,1,1,0,1,0
199_0_0,1,1,1,0,0
199_1_0,1,1,1,0,0
137_0_0,1,1,1,1,0
201_0_0,1,1,1,1,0
201_1_0,1,1,1,1,0
10_0_0,1,0,1,0,0
11_0_0,1,0,0,0,0
139_0_0,1,1,0,0,0
139_1_0,1,1,0,0,0
204_0_0,1,1,1,0,0
204_1_0,1,1,1,0,0
14_0_0,1,1,1,1,0
14_1_0,1,1,1,1,0
14_2_0,1,1,1,1,0
210_0_0,1,1,1,0,0
210_1_0,1,1,1,0,0
210_2_0,1,1,1,0,0
19_0_0,1,0,0,0,0
211_0_0,1,0,1,1,0
211_1_0,1,0,1,1,0
211_2_0,1,0,1,1,0
20_0_0,1,1,1,1,0
20_1_0,1,1,1,1,0
20_2_0,1,1,1,1,0
21_0_0,1,1,1,1,0
21_1_0,1,1,1,1,0
21_2_0,1,1,1,1,0
153_0_0,1,1,1,0,0
153_1_0,1,1,1,0,0
28_0_0,1,0,1,1,1
28_1_0,1,0,1,1,1
28_2_0,1,0,1,1,1
29_0_0,1,1,1,1,0
29_1_0,1,1,1,1,0
29_2_0,1,1,1,1,0
158_0_0,1,1,1,1,0
160_0_0,1,1,1,0,0
160_1_0,1,1,1,0,0
160_2_0,1,1,1,0,0
33_0_0,1,1,0,1,0
102_0_0,1,0,0,0,0
102_1_0,1,0,0,0,0
102_2_0,1,0,0,0,0
103_0_0,1,1,1,1,0
103_1_0,1,1,1,1,0
103_2_0,1,1,1,1,0
43_0_0,1,1,1,0,0
43_1_0,1,1,1,0,0
43_2_0,1,1,1,0,0
46_0_0,1,1,1,0,0
46_1_0,1,1,1,0,0
46_2_0,1,1,1,0,0
177_0_0,1,1,0,1,0
177_1_0,1,1,0,1,0
177_2_0,1,1,0,1,0
50_0_0,1,1,1,1,0
50_1_0,1,1,1,1,0
50_2_0,1,1,1,1,0
114_0_0,1,1,0,1,0
115_0_0,1,0,0,1,0
52_0_0,1,1,1,1,0
52_1_0,1,1,1,1,0
52_2_0,1,1,1,1,0
180_0_0,1,0,0,0,1
180_1_0,1,0,0,0,1
180_2_0,1,0,0,0,1
54_0_0,1,1,1,0,0
54_1_0,1,1,1,0,0
54_2_0,1,1,1,0,0
58_0_0,1,1,0,0,1
58_1_0,1,1,0,0,1
58_2_0,1,1,0,0,1
190_0_0,1,1,0,1,0
190_1_0,1,1,0,1,0
190_2_0,1,1,0,1,0
8_0_0,0,0,0,0,0
8_0_1,0,0,0,0,0
8_0_2,0,0,0,0,0
8_0_3,0,0,0,0,0
8_0_4,0,0,0,0,0
8_0_5,0,0,0,0,0
8_0_6,0,0,0,0,0
8_0_7,0,0,0,0,0
8_0_8,0,0,0,0,0
8_0_9,0,0,0,0,0
8_0_10,0,0,0,0,0
8_0_11,0,0,0,0,0
8_0_12,0,0,0,0,0
8_0_13,0,0,0,0,0
8_0_14,0,0,0,0,0
8_1_0,0,0,0,0,0
8_1_1,0,0,0,0,0
8_1_2,0,0,0,0,0
8_1_3,0,0,0,0,0
8_1_4,0,0,0,0,0
8_1_5,0,0,0,0,0
8_1_6,0,0,0,0,0
8_1_7,0,0,0,0,0
8_1_8,0,0,0,0,0
8_1_9,0,0,0,0,0
8_1_10,0,0,0,0,0
8_1_11,0,0,0,0,0
8_1_12,0,0,0,0,0
8_1_13,0,0,0,0,0
8_1_14,0,0,0,0,0
8_2_0,0,0,0,0,0
8_2_1,0,0,0,0,0
8_2_2,0,0,0,0,0
8_2_3,0,0,0,0,0
8_2_4,0,0,0,0,0
8_2_5,0,0,0,0,0
8_2_6,0,0,0,0,0
8_2_7,0,0,0,0,0
8_2_8,0,0,0,0,0
8_2_9,0,0,0,0,0
8_2_10,0,0,0,0,0
8_2_11,0,0,0,0,0
8_2_12,0,0,0,0,0
8_2_13,0,0,0,0,0
8_2_14,0,0,0,0,0
13_0_0,0,0,0,0,1
13_0_1,0,0,0,0,1
13_0_2,0,0,0,0,1
13_0_3,0,0,0,0,1
13_0_4,0,0,0,0,1
13_0_5,0,0,0,0,1
13_0_6,0,0,0,0,1
13_0_7,0,0,0,0,1
13_0_8,0,0,0,0,1
13_0_9,0,0,0,0,1
13_0_10,0,0,0,0,1
13_0_11,0,0,0,0,1
13_0_12,0,0,0,0,1
13_0_13,0,0,0,0,1
13_0_14,0,0,0,0,1
173_0_0,0,0,0,0,1
173_0_1,0,0,0,0,1
173_0_2,0,0,0,0,1
173_0_3,0,0,0,0,1
173_0_4,0,0,0,0,1
173_0_5,0,0,0,0,1
173_0_6,0,0,0,0,1
173_0_7,0,0,0,0,1
173_0_8,0,0,0,0,1
173_0_9,0,0,0,0,1
173_0_10,0,0,0,0,1
173_0_11,0,0,0,0,1
173_0_12,0,0,0,0,1
173_0_13,0,0,0,0,1
173_0_14,0,0,0,0,1
173_1_0,0,0,0,0,1
173_1_1,0,0,0,0,1
173_1_2,0,0,0,0,1
173_1_3,0,0,0,0,1
173_1_4,0,0,0,0,1
173_1_5,0,0,0,0,1
173_1_6,0,0,0,0,1
173_1_7,0,0,0,0,1
173_1_8,0,0,0,0,1
173_1_9,0,0,0,0,1
173_1_10,0,0,0,0,1
173_1_11,0,0,0,0,1
173_1_12,0,0,0,0,1
173_1_13,0,0,0,0,1
173_1_14,0,0,0,0,1
173_2_0,0,0,0,0,1
173_2_1,0,0,0,0,1
173_2_2,0,0,0,0,1
173_2_3,0,0,0,0,1
173_2_4,0,0,0,0,1
173_2_5,0,0,0,0,1
173_2_6,0,0,0,0,1
173_2_7,0,0,0,0,1
173_2_8,0,0,0,0,1
173_2_9,0,0,0,0,1
173_2_10,0,0,0,0,1
173_2_11,0,0,0,0,1
173_2_12,0,0,0,0,1
173_2_13,0,0,0,0,1
173_2_14,0,0,0,0,1
