graph_id,is_correct,feature_55263,feature_3313,feature_643,feature_11494,feature_7318
0_0_0,1,0,1,1,0,1
0_1_0,1,0,1,1,0,1
0_2_0,1,0,1,1,0,1
1_0_0,1,0,1,0,1,0
1_1_0,1,0,1,0,1,0
1_2_0,1,0,1,0,1,0
3_0_0,1,0,1,0,1,0
72_0_0,1,0,1,0,1,1
202_0_0,1,0,1,0,1,0
45_0_0,1,0,1,0,1,0
45_1_0,1,0,1,0,1,0
45_2_0,1,0,1,0,1,0
111_0_0,1,0,1,0,1,0
111_1_0,1,0,1,0,1,0
111_2_0,1,0,1,0,1,0
50_0_0,1,0,0,0,0,1
373_0_0,1,0,1,0,1,0
214_0_0,1,0,0,0,0,1
214_1_0,1,0,0,0,0,1
214_2_0,1,0,0,0,0,1
56_0_0,1,0,0,1,1,1
28_0_0,1,0,1,0,1,1
252_0_0,1,0,0,1,1,1
252_1_0,1,0,0,1,1,1
191_0_0,1,0,0,0,1,1
191_1_0,1,0,0,0,1,1
32_0_0,0,1,0,1,0,0
32_0_1,0,1,0,1,0,0
32_0_2,0,1,0,1,0,0
32_0_3,0,1,0,1,0,0
32_1_0,0,1,0,1,0,0
32_1_1,0,1,0,1,0,0
32_1_2,0,1,0,1,0,0
32_1_3,0,1,0,1,0,0
32_2_0,0,1,0,1,0,0
32_2_1,0,1,0,1,0,0
32_2_2,0,1,0,1,0,0
32_2_3,0,1,0,1,0,0
2_0_0,0,0,0,1,0,0
2_0_1,0,0,0,1,0,0
2_0_2,0,0,0,1,0,0
2_0_3,0,0,0,1,0,0
38_0_0,0,1,0,1,0,0
38_0_1,0,1,0,1,0,0
38_0_2,0,1,0,1,0,0
38_0_3,0,1,0,1,0,0
39_0_0,0,1,0,1,0,0
39_0_1,0,1,0,1,0,0
39_0_2,0,1,0,1,0,0
39_0_3,0,1,0,1,0,0
135_0_0,0,0,0,0,1,0
135_0_1,0,0,0,0,1,0
135_0_2,0,0,0,0,1,0
135_0_3,0,0,0,0,1,0
