graph_id,is_correct,feature_16,feature_6769
170_0_0,1,0,1
170_0_1,1,0,1
170_0_2,1,0,1
170_0_3,1,0,1
170_0_4,1,0,1
170_0_5,1,0,1
170_0_6,1,0,1
170_0_7,1,0,1
170_0_8,1,0,1
170_0_9,1,0,1
170_0_10,1,0,1
170_0_11,1,0,1
170_0_12,1,0,1
170_0_13,1,0,1
170_0_14,1,0,1
170_0_15,1,0,1
170_0_16,1,0,1
170_0_17,1,0,1
170_0_18,1,0,1
170_0_19,1,0,1
170_0_20,1,0,1
170_0_21,1,0,1
170_0_22,1,0,1
224_0_0,0,1,0
224_1_0,0,1,0
224_2_0,0,1,0
224_3_0,0,1,0
224_4_0,0,1,0
2_0_0,0,1,0
179_0_0,0,1,0
69_0_0,0,1,0
69_1_0,0,1,0
137_0_0,0,1,0
137_1_0,0,1,0
137_2_0,0,1,0
137_3_0,0,1,0
137_4_0,0,1,0
106_0_0,0,1,1
106_1_0,0,1,1
44_0_0,0,1,1
44_1_0,0,1,1
126_0_0,0,1,0
126_1_0,0,1,0
126_2_0,0,1,0
126_3_0,0,1,0
126_4_0,0,1,0
