graph_id,is_correct,feature_10291,feature_18432
35_0_0,1,1,1
35_0_1,1,1,1
35_0_2,1,1,1
85_0_0,1,1,1
85_0_1,1,1,1
85_0_2,1,1,1
25_0_0,1,1,0
25_0_1,1,1,0
25_0_2,1,1,0
93_0_0,1,1,1
93_0_1,1,1,1
93_0_2,1,1,1
93_1_0,1,1,1
93_1_1,1,1,1
93_1_2,1,1,1
14_0_0,1,1,1
14_0_1,1,1,1
14_0_2,1,1,1
14_1_0,1,1,1
14_1_1,1,1,1
14_1_2,1,1,1
94_0_0,1,0,0
94_0_1,1,0,0
94_0_2,1,0,0
63_0_0,1,1,1
63_0_1,1,1,1
63_0_2,1,1,1
63_1_0,1,1,1
63_1_1,1,1,1
63_1_2,1,1,1
1_0_0,0,0,0
65_0_0,0,0,0
65_1_0,0,0,0
2_0_0,0,0,0
36_0_0,0,0,0
36_1_0,0,0,0
39_0_0,0,0,0
9_0_0,0,1,0
46_0_0,0,0,0
15_0_0,0,0,0
15_1_0,0,0,0
15_2_0,0,0,0
16_0_0,0,0,0
16_1_0,0,0,0
16_2_0,0,0,0
16_3_0,0,0,0
16_4_0,0,0,0
80_0_0,0,0,0
80_1_0,0,0,0
80_2_0,0,0,0
80_3_0,0,0,0
80_4_0,0,0,0
51_0_0,0,0,0
20_0_0,0,1,0
117_0_0,0,0,0
86_0_0,0,0,0
86_1_0,0,0,0
91_0_0,0,0,0
123_0_0,0,0,0
61_0_0,0,0,0
61_1_0,0,0,0
61_2_0,0,0,0
126_0_0,0,0,0
126_1_0,0,0,0
126_2_0,0,0,0
126_3_0,0,0,0
126_4_0,0,0,0
